time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-30 23:08:52,648, 1294, 320, 352, 3949, 8675, 6550, 2483, 12160, 826
2023-03-30 23:08:53,3689, 17122, 4938, 9930, 10543, 6744, 4305, 3036, 34525, 995
2023-03-30 23:08:54,3709, 17100, 5008, 9922, 10490, 6723, 4309, 3039, 34443, 991
2023-03-30 23:08:55,3701, 16991, 5029, 9875, 10468, 6719, 4309, 3047, 34545, 994
2023-03-30 23:08:56,3708, 17033, 5059, 9893, 10481, 6717, 4316, 3057, 34634, 997
2023-03-30 23:08:57,3704, 17019, 5071, 9871, 10454, 6686, 4306, 3060, 34564, 994
2023-03-30 23:08:58,3694, 16968, 5068, 9844, 10405, 6667, 4290, 3045, 34502, 991
2023-03-30 23:08:59,3699, 16905, 5060, 9799, 10382, 6676, 4290, 3043, 34219, 987
2023-03-30 23:09:00,3700, 16845, 5077, 9806, 10371, 6655, 4274, 3034, 34121, 988
2023-03-30 23:09:01,3698, 16752, 5073, 9787, 10379, 6642, 4291, 3032, 34008, 986
2023-03-30 23:09:02,3682, 16764, 5077, 9783, 10370, 6641, 4293, 3031, 34268, 984
2023-03-30 23:09:03,3685, 16782, 5071, 9797, 10366, 6657, 4296, 3039, 34410, 986
2023-03-30 23:09:04,3686, 16854, 5079, 9797, 10356, 6662, 4297, 3050, 34399, 988
2023-03-30 23:09:05,3686, 16857, 5088, 9790, 10362, 6668, 4296, 3055, 34353, 989
2023-03-30 23:09:06,3687, 16845, 5100, 9794, 10365, 6673, 4279, 3059, 34256, 989
2023-03-30 23:09:07,3690, 16825, 5101, 9780, 10389, 6672, 4279, 3055, 34063, 989
2023-03-30 23:09:08,3678, 16825, 5109, 9782, 10399, 6675, 4293, 3058, 33893, 990
2023-03-30 23:09:09,3680, 16838, 5115, 9778, 10387, 6680, 4296, 3060, 33911, 976
2023-03-30 23:09:10,3686, 16849, 5108, 9781, 10366, 6681, 4270, 3059, 33807, 985
2023-03-30 23:09:11,3686, 16836, 5117, 9774, 10372, 6675, 4288, 3061, 34115, 987
2023-03-30 23:09:12,3687, 16799, 5118, 9763, 10376, 6669, 4284, 3060, 34052, 987
2023-03-30 23:09:13,3678, 16812, 5119, 9756, 10372, 6666, 4280, 3061, 34083, 987
2023-03-30 23:09:14,3686, 16828, 5114, 9758, 10369, 6681, 4280, 3062, 34127, 989
2023-03-30 23:09:15,3688, 16809, 5123, 9749, 10370, 6675, 4281, 3062, 34220, 990
2023-03-30 23:09:16,3684, 16805, 5120, 9746, 10384, 6665, 4293, 3060, 34302, 990
2023-03-30 23:09:17,3684, 16806, 5122, 9755, 10399, 6675, 4306, 3059, 34352, 991
2023-03-30 23:09:18,3686, 16808, 5120, 9755, 10390, 6683, 4315, 3061, 34369, 990
2023-03-30 23:09:19,3681, 16817, 5118, 9773, 10409, 6681, 4320, 3063, 34345, 990
2023-03-30 23:09:20,3682, 16806, 5127, 9773, 10392, 6677, 4314, 3059, 34334, 989
2023-03-30 23:09:21,3678, 16806, 5123, 9767, 10389, 6675, 4310, 3060, 34284, 987
2023-03-30 23:09:22,3685, 16767, 5128, 9756, 10379, 6657, 4310, 3063, 34367, 990
2023-03-30 23:09:23,3668, 16751, 5106, 9752, 10369, 6661, 4302, 3048, 34371, 990
2023-03-30 23:09:24,3676, 16799, 5132, 9714, 10381, 6663, 4304, 3064, 34389, 990
2023-03-30 23:09:25,3677, 16792, 5128, 9763, 10380, 6648, 4302, 3059, 34359, 989
2023-03-30 23:09:26,3673, 16757, 5127, 9745, 10367, 6639, 4293, 3056, 34360, 990
2023-03-30 23:09:27,3677, 16717, 5119, 9739, 10355, 6648, 4293, 3054, 34344, 989
2023-03-30 23:09:29,3667, 16769, 5117, 9752, 10378, 6635, 4293, 3061, 34326, 988
2023-03-30 23:09:30,3670, 16788, 5127, 9730, 10359, 6646, 4285, 3060, 34330, 988
2023-03-30 23:09:31,3674, 16716, 5129, 9731, 10352, 6641, 4290, 3056, 34308, 988
2023-03-30 23:09:32,3669, 16756, 5112, 9722, 10367, 6624, 4290, 3056, 34297, 989
2023-03-30 23:09:33,3649, 16741, 5119, 9727, 10358, 6628, 4287, 3054, 34207, 988
2023-03-30 23:09:34,3650, 16721, 5112, 9728, 10324, 6623, 4286, 3047, 34253, 985
2023-03-30 23:09:35,3657, 16683, 5112, 9700, 10323, 6607, 4267, 3047, 34215, 985
2023-03-30 23:09:36,3654, 16650, 5111, 9673, 10303, 6615, 4278, 3043, 34228, 985
2023-03-30 23:09:37,3647, 16654, 5102, 9675, 10307, 6584, 4271, 3032, 34224, 985
2023-03-30 23:09:38,3656, 16508, 5078, 9702, 10315, 6570, 4276, 3034, 34230, 984
2023-03-30 23:09:39,3649, 16674, 5109, 9704, 10316, 6624, 4279, 3048, 34239, 985
