time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-06 12:54:45,525, 1910, 864, 2471, 5191, 7115, 5334, 2035, 10699, 590
2023-03-06 12:54:46,525, 1919, 868, 2472, 5186, 7095, 5322, 2026, 10702, 591
2023-03-06 12:54:47,524, 1904, 863, 2465, 5178, 7088, 5313, 2030, 10642, 589
2023-03-06 12:54:48,524, 1910, 864, 2465, 5183, 7092, 5315, 2031, 10665, 589
2023-03-06 12:54:49,525, 1914, 865, 2466, 5180, 7090, 5323, 2031, 10698, 588
2023-03-06 12:54:50,525, 1915, 866, 2466, 5178, 7087, 5318, 2030, 10707, 588
2023-03-06 12:54:51,526, 1909, 867, 2465, 5185, 7083, 5328, 2026, 10709, 589
2023-03-06 12:54:52,525, 1913, 864, 2463, 5179, 7077, 5311, 2025, 10666, 587
2023-03-06 12:54:53,524, 1913, 863, 2457, 5179, 7079, 5305, 2028, 10630, 587
2023-03-06 12:54:54,524, 1912, 863, 2456, 5182, 7093, 5309, 2035, 10655, 588
2023-03-06 12:54:55,524, 1912, 865, 2454, 5177, 7093, 5301, 2038, 10655, 588
2023-03-06 12:54:56,525, 1910, 866, 2452, 5176, 7085, 5296, 2034, 10653, 589
2023-03-06 12:54:57,525, 1911, 867, 2449, 5172, 7077, 5302, 2030, 10634, 587
2023-03-06 12:54:58,525, 1905, 866, 2450, 5177, 7074, 5318, 2028, 10665, 588
2023-03-06 12:54:59,525, 1901, 866, 2450, 5180, 7066, 5324, 2027, 10651, 589
2023-03-06 12:55:00,525, 1905, 866, 2447, 5175, 7052, 5316, 2024, 10651, 588
2023-03-06 12:55:01,524, 1899, 863, 2449, 5180, 7054, 5314, 2026, 10607, 587
2023-03-06 12:55:02,524, 1902, 865, 2449, 5177, 7062, 5316, 2028, 10590, 586
2023-03-06 12:55:03,525, 1911, 865, 2450, 5174, 7072, 5309, 2026, 10607, 585
2023-03-06 12:55:04,525, 1910, 864, 2451, 5179, 7082, 5311, 2031, 10598, 586
2023-03-06 12:55:05,524, 1910, 864, 2451, 5165, 7092, 5294, 2029, 10621, 587
2023-03-06 12:55:06,523, 1896, 861, 2453, 5146, 7092, 5294, 2025, 10684, 588
2023-03-06 12:55:07,524, 1910, 863, 2458, 5158, 7084, 5301, 2027, 10674, 589
2023-03-06 12:55:08,525, 1897, 865, 2457, 5179, 7078, 5317, 2025, 10648, 587
2023-03-06 12:55:09,524, 1906, 867, 2453, 5176, 7085, 5309, 2023, 10665, 587
2023-03-06 12:55:10,524, 1908, 863, 2451, 5180, 7080, 5317, 2039, 10644, 590
2023-03-06 12:55:11,524, 1906, 865, 2450, 5178, 7060, 5312, 2022, 10645, 590
2023-03-06 12:55:12,524, 1912, 867, 2455, 5172, 7081, 5308, 2035, 10650, 588
2023-03-06 12:55:13,523, 1916, 866, 2460, 5173, 7109, 5316, 2038, 10656, 590
2023-03-06 12:55:14,524, 1914, 867, 2458, 5185, 7106, 5313, 2039, 10666, 587
2023-03-06 12:55:15,526, 1916, 869, 2455, 5184, 7108, 5316, 2038, 10651, 589
2023-03-06 12:55:16,524, 1912, 867, 2454, 5181, 7104, 5324, 2037, 10708, 591
2023-03-06 12:55:17,525, 1900, 867, 2455, 5180, 7092, 5317, 2037, 10691, 591
2023-03-06 12:55:18,525, 1912, 868, 2456, 5178, 7093, 5305, 2035, 10681, 591
2023-03-06 12:55:19,526, 1905, 867, 2452, 5180, 7096, 5305, 2036, 10702, 590
2023-03-06 12:55:20,525, 1909, 868, 2451, 5176, 7109, 5312, 2038, 10674, 590
2023-03-06 12:55:21,526, 1914, 866, 2451, 5178, 7106, 5308, 2038, 10684, 591
2023-03-06 12:55:22,526, 1913, 867, 2453, 5179, 7102, 5306, 2038, 10686, 591
2023-03-06 12:55:23,525, 1907, 867, 2453, 5182, 7099, 5311, 2037, 10702, 591
2023-03-06 12:55:25,525, 1910, 867, 2453, 5178, 7103, 5314, 2037, 10700, 591
2023-03-06 12:55:26,526, 1913, 868, 2453, 5172, 7109, 5310, 2037, 10693, 590
2023-03-06 12:55:27,526, 1904, 866, 2452, 5161, 7103, 5309, 2036, 10683, 589
2023-03-06 12:55:28,526, 1908, 867, 2451, 5165, 7111, 5314, 2035, 10678, 589
2023-03-06 12:55:29,525, 1909, 865, 2451, 5159, 7109, 5306, 2033, 10685, 589
2023-03-06 12:55:30,526, 1903, 866, 2451, 5157, 7111, 5305, 2036, 10689, 590
2023-03-06 12:55:31,526, 1916, 867, 2453, 5161, 7106, 5302, 2036, 10664, 590
2023-03-06 12:55:32,525, 1912, 868, 2451, 5169, 7113, 5302, 2040, 10666, 590
2023-03-06 12:55:33,525, 1912, 867, 2449, 5171, 7105, 5302, 2039, 10687, 591
2023-03-06 12:55:34,526, 1910, 867, 2449, 5172, 7101, 5301, 2037, 10670, 590
2023-03-06 12:55:35,527, 1915, 867, 2451, 5181, 7115, 5307, 2040, 10663, 590
2023-03-06 12:55:36,526, 1913, 868, 2450, 5181, 7109, 5312, 2037, 10704, 591
2023-03-06 12:55:37,526, 1901, 867, 2450, 5176, 7114, 5305, 2037, 10671, 590
2023-03-06 12:55:38,526, 1918, 867, 2451, 5177, 7112, 5301, 2038, 10688, 589
2023-03-06 12:55:39,527, 1910, 866, 2449, 5171, 7106, 5301, 2038, 10690, 590
2023-03-06 12:55:40,526, 1911, 866, 2447, 5169, 7101, 5299, 2039, 10693, 591
2023-03-06 12:55:41,526, 1911, 866, 2447, 5171, 7107, 5309, 2040, 10681, 590
2023-03-06 12:55:42,526, 1912, 866, 2451, 5179, 7110, 5307, 2040, 10694, 590
2023-03-06 12:55:43,526, 1908, 867, 2450, 5175, 7109, 5302, 2040, 10693, 589
2023-03-06 12:55:44,527, 1907, 867, 2449, 5171, 7105, 5306, 2037, 10691, 590
2023-03-06 12:55:45,527, 1912, 866, 2445, 5182, 7104, 5311, 2039, 10701, 591
2023-03-06 12:55:46,526, 1913, 867, 2448, 5174, 7107, 5309, 2039, 10703, 591
2023-03-06 12:55:47,526, 1908, 868, 2450, 5180, 7104, 5312, 2039, 10707, 590
2023-03-06 12:55:48,527, 1910, 868, 2449, 5175, 7101, 5307, 2040, 10696, 591
2023-03-06 12:55:49,526, 1913, 867, 2447, 5180, 7096, 5305, 2040, 10696, 590
2023-03-06 12:55:50,526, 1910, 867, 2445, 5182, 7105, 5309, 2038, 10697, 590
2023-03-06 12:55:51,527, 1913, 867, 2443, 5175, 7102, 5307, 2037, 10688, 590
2023-03-06 12:55:52,526, 1914, 867, 2447, 5178, 7103, 5305, 2039, 10700, 590
2023-03-06 12:55:53,525, 1911, 867, 2449, 5180, 7102, 5312, 2039, 10702, 590
2023-03-06 12:55:54,526, 1916, 867, 2446, 5181, 7101, 5311, 2038, 10706, 590
2023-03-06 12:55:55,526, 1913, 868, 2443, 5178, 7099, 5305, 2036, 10703, 590
2023-03-06 12:55:56,526, 1918, 868, 2442, 5178, 7102, 5309, 2037, 10699, 590
2023-03-06 12:55:57,526, 1913, 868, 2445, 5178, 7105, 5305, 2037, 10699, 589
2023-03-06 12:55:58,527, 1913, 867, 2446, 5175, 7099, 5305, 2038, 10706, 589
2023-03-06 12:55:59,527, 1914, 867, 2445, 5179, 7097, 5306, 2038, 10702, 589
2023-03-06 12:56:00,527, 1915, 867, 2447, 5178, 7101, 5306, 2039, 10708, 589
2023-03-06 12:56:01,527, 1913, 867, 2447, 5177, 7105, 5306, 2036, 10702, 589
2023-03-06 12:56:02,526, 1910, 868, 2446, 5175, 7103, 5299, 2036, 10704, 589
2023-03-06 12:56:03,526, 1914, 868, 2444, 5174, 7103, 5301, 2036, 10712, 590
2023-03-06 12:56:04,526, 1910, 866, 2445, 5174, 7096, 5304, 2037, 10707, 590
2023-03-06 12:56:05,526, 1911, 865, 2444, 5176, 7104, 5298, 2039, 10706, 590
2023-03-06 12:56:06,526, 1912, 866, 2446, 5175, 7110, 5301, 2041, 10728, 590
2023-03-06 12:56:07,526, 1910, 867, 2446, 5171, 7107, 5308, 2040, 10736, 589
2023-03-06 12:56:08,527, 1911, 867, 2443, 5176, 7100, 5309, 2039, 10703, 589
2023-03-06 12:56:09,527, 1908, 867, 2443, 5179, 7095, 5309, 2037, 10712, 589
2023-03-06 12:56:10,526, 1909, 866, 2444, 5176, 7096, 5304, 2039, 10729, 588
2023-03-06 12:56:11,527, 1912, 867, 2445, 5177, 7099, 5309, 2041, 10735, 589
2023-03-06 12:56:12,527, 1910, 867, 2445, 5176, 7099, 5307, 2040, 10747, 590
