time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 12:16:52,808, 2996, 1476, 4344, 7839, 7893, 5840, 2421, 15790, 1187
2023-01-31 12:16:52,2982, 12209, 6470, 15335, 30016, 31924, 25444, 12307, 65535, 4923
2023-01-31 12:16:53,2978, 12122, 6464, 15303, 30031, 31923, 25438, 12300, 65486, 4905
2023-01-31 12:16:53,2972, 12127, 6456, 15244, 29996, 31899, 25422, 12286, 65535, 4919
2023-01-31 12:16:54,2974, 12143, 6457, 15256, 29978, 31925, 25406, 12306, 65531, 4915
2023-01-31 12:16:55,2967, 12089, 6445, 15268, 29970, 31945, 25401, 12307, 65535, 4918
2023-01-31 12:16:55,2974, 12178, 6468, 15292, 29977, 31952, 25433, 12315, 65535, 4924
2023-01-31 12:16:56,2977, 12130, 6464, 15279, 29963, 31908, 25394, 12290, 65535, 4914
2023-01-31 12:16:57,2973, 12163, 6468, 15260, 29952, 31938, 25393, 12301, 65507, 4914
2023-01-31 12:16:57,2978, 12167, 6475, 15284, 29941, 31884, 25369, 12295, 65505, 4920
2023-01-31 12:16:58,2975, 12148, 6472, 15274, 29968, 31898, 25409, 12301, 65478, 4913
2023-01-31 12:16:58,2975, 12115, 6461, 15263, 29992, 31951, 25393, 12311, 65535, 4913
2023-01-31 12:16:59,2973, 12135, 6463, 15255, 30000, 31949, 25429, 12302, 65535, 4914
2023-01-31 12:17:00,2975, 12153, 6477, 15271, 29991, 31955, 25421, 12308, 65535, 4915
2023-01-31 12:17:00,2979, 12160, 6494, 15279, 29971, 31953, 25411, 12309, 65535, 4910
2023-01-31 12:17:01,2975, 12126, 6470, 15266, 30002, 31960, 25415, 12320, 65535, 4916
2023-01-31 12:17:02,2979, 12154, 6488, 15293, 30022, 31987, 25416, 12324, 65535, 4911
2023-01-31 12:17:02,2975, 12167, 6476, 15281, 29913, 31859, 25340, 12283, 65496, 4908
2023-01-31 12:17:03,2972, 12126, 6467, 15252, 29934, 31909, 25355, 12300, 65441, 4907
2023-01-31 12:17:03,2977, 12137, 6478, 15268, 30092, 32058, 25492, 12348, 65535, 4925
2023-01-31 12:17:04,2980, 12182, 6489, 15314, 29959, 31918, 25375, 12300, 65532, 4908
2023-01-31 12:17:05,2979, 12163, 6482, 15276, 29864, 31850, 25326, 12284, 65441, 4912
2023-01-31 12:17:05,2968, 12130, 6468, 15257, 29972, 31925, 25379, 12309, 65535, 4913
2023-01-31 12:17:06,2980, 12158, 6485, 15301, 30023, 32009, 25456, 12337, 65535, 4926
2023-01-31 12:17:07,2953, 12022, 6422, 15076, 29678, 31570, 25335, 12266, 64979, 4804
2023-01-31 12:17:07,2948, 12032, 6413, 15109, 29595, 31443, 25072, 12171, 64738, 4840
2023-01-31 12:17:08,2971, 12117, 6477, 15284, 29840, 31811, 25306, 12283, 65233, 4897
2023-01-31 12:17:08,2961, 12102, 6439, 15180, 29807, 31724, 25261, 12244, 65250, 4897
2023-01-31 12:17:09,2972, 12170, 6476, 15283, 29958, 31958, 25366, 12313, 65462, 4899
2023-01-31 12:17:10,2960, 12085, 6452, 15207, 29842, 31773, 25276, 12262, 65393, 4905
2023-01-31 12:17:10,2958, 12086, 6461, 15165, 29793, 31752, 25256, 12257, 64989, 4876
2023-01-31 12:17:11,2958, 12078, 6456, 15222, 29822, 31742, 25280, 12244, 65250, 4889
2023-01-31 12:17:12,2960, 12068, 6449, 15206, 29869, 31824, 25292, 12272, 65234, 4887
2023-01-31 12:17:12,2943, 11956, 6405, 15078, 29709, 31667, 25204, 12227, 64666, 4832
2023-01-31 12:17:13,2949, 12004, 6440, 15122, 29793, 31789, 25255, 12267, 65153, 4877
2023-01-31 12:17:13,2952, 12032, 6442, 15172, 29806, 31815, 25278, 12280, 64950, 4856
2023-01-31 12:17:14,2937, 11927, 6405, 15047, 29880, 31843, 25319, 12296, 65072, 4858
2023-01-31 12:17:15,2949, 12025, 6427, 15155, 29706, 31636, 25190, 12210, 64936, 4872
2023-01-31 12:17:15,2947, 12055, 6433, 15162, 29763, 31728, 25243, 12236, 65164, 4884
2023-01-31 12:17:16,2958, 12080, 6445, 15201, 29739, 31664, 25218, 12218, 65101, 4885
2023-01-31 12:17:17,2958, 12055, 6448, 15193, 29807, 31776, 25297, 12255, 65174, 4881
2023-01-31 12:17:17,2960, 12054, 6448, 15166, 29780, 31713, 25255, 12229, 65219, 4880
2023-01-31 12:17:18,2957, 12045, 6436, 15138, 29745, 31659, 25229, 12228, 64824, 4864
2023-01-31 12:17:18,2952, 12044, 6440, 15138, 29817, 31767, 25270, 12255, 65117, 4882
2023-01-31 12:17:19,2958, 12042, 6455, 15217, 29831, 31776, 25260, 12258, 65224, 4890
2023-01-31 12:17:20,2953, 12005, 6455, 15158, 29816, 31823, 25329, 12272, 65306, 4889
