time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-30 23:28:39,3874, 17087, 5444, 10491, 12428, 9983, 7091, 3278, 39672, 1318
2023-03-30 23:28:40,3982, 17601, 5153, 10641, 12865, 10603, 7667, 3286, 40945, 1385
2023-03-30 23:28:41,3964, 17448, 5192, 10506, 12774, 10509, 7612, 3280, 40661, 1382
2023-03-30 23:28:42,3954, 17348, 5211, 10450, 12711, 10478, 7605, 3276, 40573, 1370
2023-03-30 23:28:44,3934, 17215, 5208, 10381, 12706, 10431, 7613, 3279, 40656, 1375
2023-03-30 23:28:45,3907, 17274, 5228, 10391, 12660, 10432, 7550, 3285, 40170, 1364
2023-03-30 23:28:46,3922, 17135, 5226, 10305, 12737, 10477, 7617, 3301, 40704, 1378
2023-03-30 23:28:47,3957, 17316, 5277, 10392, 12583, 10411, 7566, 3282, 40387, 1366
2023-03-30 23:28:48,3919, 17117, 5240, 10318, 12662, 10414, 7594, 3291, 40432, 1370
2023-03-30 23:28:49,3943, 17187, 5280, 10361, 12703, 10476, 7625, 3308, 40572, 1372
2023-03-30 23:28:50,3953, 17269, 5295, 10390, 12680, 10464, 7604, 3307, 40744, 1377
2023-03-30 23:28:51,3947, 17252, 5281, 10385, 12665, 10452, 7608, 3304, 40088, 1363
2023-03-30 23:28:52,3940, 17175, 5264, 10356, 12647, 10441, 7593, 3300, 40510, 1370
2023-03-30 23:28:53,3940, 17177, 5287, 10362, 12669, 10455, 7581, 3312, 39731, 1374
2023-03-30 23:28:54,3934, 17139, 5298, 10304, 12657, 10392, 7594, 3293, 40622, 1375
2023-03-30 23:28:55,3939, 17146, 5302, 10335, 12665, 10402, 7598, 3285, 40553, 1371
2023-03-30 23:28:56,3938, 16882, 5300, 10310, 12599, 10389, 7580, 3285, 40452, 1366
2023-03-30 23:28:57,3912, 17024, 5279, 10235, 12601, 10377, 7571, 3285, 40469, 1367
2023-03-30 23:28:58,3921, 17123, 5295, 10326, 12673, 10430, 7611, 3310, 40587, 1373
2023-03-30 23:28:59,3942, 17208, 5321, 10372, 12704, 10462, 7626, 3318, 40730, 1377
2023-03-30 23:29:00,3952, 17250, 5334, 10392, 12636, 10394, 7591, 3286, 40712, 1377
2023-03-30 23:29:01,3942, 17239, 5330, 10365, 12687, 10452, 7613, 3315, 40655, 1376
2023-03-30 23:29:02,3946, 17201, 5329, 10367, 12675, 10449, 7616, 3314, 40617, 1376
2023-03-30 23:29:03,3947, 17228, 5327, 10384, 12690, 10452, 7623, 3317, 40538, 1369
2023-03-30 23:29:04,3944, 17227, 5335, 10380, 12650, 10448, 7605, 3314, 40624, 1373
2023-03-30 23:29:05,3938, 17196, 5322, 10363, 12683, 10454, 7624, 3318, 40580, 1374
2023-03-30 23:29:06,3937, 17220, 5328, 10387, 12691, 10451, 7623, 3317, 40592, 1374
2023-03-30 23:29:07,3939, 17212, 5336, 10378, 12680, 10446, 7623, 3316, 40619, 1373
