time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-06 14:56:14,576, 2582, 1325, 3328, 6460, 7062, 5245, 2654, 10345, 569
2023-03-06 14:56:15,576, 2583, 1326, 3325, 6461, 7064, 5243, 2655, 10338, 569
2023-03-06 14:56:16,576, 2583, 1326, 3324, 6459, 7060, 5243, 2652, 10339, 569
2023-03-06 14:56:17,576, 2583, 1326, 3323, 6457, 7059, 5243, 2654, 10340, 569
2023-03-06 14:56:18,576, 2577, 1325, 3323, 6456, 7060, 5244, 2654, 10337, 569
2023-03-06 14:56:19,576, 2582, 1327, 3324, 6458, 7061, 5245, 2654, 10343, 569
2023-03-06 14:56:20,576, 2582, 1326, 3323, 6456, 7060, 5241, 2654, 10335, 569
2023-03-06 14:56:21,576, 2578, 1325, 3322, 6458, 7061, 5243, 2654, 10333, 569
2023-03-06 14:56:22,576, 2578, 1325, 3322, 6455, 7058, 5242, 2652, 10338, 569
2023-03-06 14:56:23,576, 2578, 1324, 3321, 6454, 7057, 5243, 2653, 10338, 569
2023-03-06 14:56:24,576, 2579, 1326, 3319, 6456, 7059, 5242, 2653, 10335, 569
2023-03-06 14:56:25,576, 2574, 1325, 3320, 6453, 7057, 5243, 2654, 10342, 569
2023-03-06 14:56:26,576, 2578, 1326, 3321, 6454, 7060, 5241, 2652, 10337, 569
2023-03-06 14:56:27,576, 2578, 1326, 3321, 6452, 7062, 5241, 2654, 10342, 569
2023-03-06 14:56:28,576, 2578, 1327, 3320, 6454, 7061, 5238, 2654, 10337, 569
2023-03-06 14:56:29,577, 2579, 1326, 3320, 6452, 7058, 5239, 2653, 10343, 569
2023-03-06 14:56:30,576, 2577, 1327, 3320, 6453, 7059, 5241, 2653, 10338, 569
2023-03-06 14:56:31,577, 2580, 1327, 3320, 6453, 7056, 5241, 2653, 10341, 569
2023-03-06 14:56:32,577, 2579, 1326, 3320, 6449, 7059, 5240, 2652, 10337, 569
2023-03-06 14:56:33,576, 2579, 1326, 3319, 6445, 7060, 5240, 2651, 10330, 569
