time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 11:49:50,2695, 11614, 6066, 14578, 27110, 25739, 18118, 11029, 56665, 4086
2023-01-31 11:49:51,2994, 11631, 5739, 12836, 29158, 35183, 28181, 13346, 65535, 5010
2023-01-31 11:49:52,2990, 11624, 5745, 12784, 29135, 35179, 28170, 13342, 65535, 4979
2023-01-31 11:49:52,2994, 11694, 5745, 12836, 29196, 35287, 28227, 13384, 65535, 5014
2023-01-31 11:49:53,3002, 11568, 5748, 12807, 29027, 35069, 28109, 13296, 65535, 5019
2023-01-31 11:49:53,2987, 11559, 5735, 12797, 29177, 35173, 28204, 13343, 65535, 5020
2023-01-31 11:49:54,3002, 11586, 5747, 12800, 29139, 35192, 28228, 13341, 65535, 5026
2023-01-31 11:49:55,2996, 11568, 5744, 12769, 29031, 35073, 28063, 13315, 65535, 5025
2023-01-31 11:49:55,2989, 11531, 5729, 12745, 28989, 34999, 28042, 13280, 65535, 5004
2023-01-31 11:49:56,2987, 11567, 5719, 12771, 29021, 35071, 28069, 13311, 65535, 5011
2023-01-31 11:49:57,2980, 11510, 5710, 12765, 29092, 35030, 28050, 13296, 65535, 4988
2023-01-31 11:49:57,2988, 11553, 5728, 12784, 29168, 35191, 28203, 13348, 65535, 5023
2023-01-31 11:49:58,2992, 11601, 5757, 12796, 29156, 35144, 28175, 13329, 65535, 5011
2023-01-31 11:49:58,2998, 11627, 5755, 12802, 29078, 35093, 28098, 13312, 65535, 5000
2023-01-31 11:49:59,2986, 11511, 5726, 12803, 29137, 35155, 28196, 13342, 65535, 4990
2023-01-31 11:50:00,2991, 11599, 5750, 12829, 29179, 35182, 28209, 13381, 65535, 5020
2023-01-31 11:50:00,2993, 11523, 5751, 12783, 29156, 35138, 28199, 13339, 65535, 5008
2023-01-31 11:50:01,2991, 11511, 5753, 12761, 29114, 35221, 28174, 13340, 65535, 5013
2023-01-31 11:50:02,2986, 11473, 5730, 12795, 29112, 35092, 28156, 13330, 65535, 5003
2023-01-31 11:50:02,2990, 11534, 5742, 12782, 29068, 35085, 28094, 13302, 65535, 5005
2023-01-31 11:50:03,3006, 11519, 5745, 12749, 29137, 35063, 28163, 13328, 65535, 5023
2023-01-31 11:50:03,2998, 11633, 5769, 12767, 29159, 35187, 28222, 13353, 65535, 5021
2023-01-31 11:50:04,2989, 11568, 5746, 12789, 29086, 35147, 28130, 13342, 65535, 5018
2023-01-31 11:50:05,2994, 11563, 5744, 12782, 29138, 35163, 28146, 13352, 65535, 5011
2023-01-31 11:50:05,2998, 11583, 5750, 12816, 29129, 35169, 28162, 13334, 65535, 5021
2023-01-31 11:50:06,2997, 11624, 5743, 12789, 29117, 35083, 28146, 13320, 65535, 5017
2023-01-31 11:50:07,2992, 11498, 5717, 12762, 29063, 35073, 28115, 13337, 65535, 4989
2023-01-31 11:50:07,2983, 11578, 5737, 12773, 29080, 35065, 28169, 13311, 65535, 5008
2023-01-31 11:50:08,2994, 11506, 5745, 12768, 29117, 35098, 28174, 13325, 65535, 5023
2023-01-31 11:50:08,2993, 11440, 5734, 12760, 29044, 34981, 28080, 13282, 65535, 5011
