time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-04-21 03:45:48,1230, 9686, 3742, 7000, 8365, 6090, 4582, 2110, 23004, 797
2023-04-21 03:45:49,1227, 9678, 3721, 7014, 8339, 6100, 4570, 2108, 23044, 799
2023-04-21 03:45:50,1227, 9708, 3742, 7019, 8360, 6100, 4577, 2120, 23132, 802
2023-04-21 03:45:51,1237, 9740, 3760, 7039, 8339, 6134, 4589, 2127, 23145, 803
2023-04-21 03:45:52,1238, 9755, 3769, 7056, 8411, 6128, 4603, 2127, 23143, 803
2023-04-21 03:45:54,1238, 9760, 3771, 7064, 8424, 6135, 4611, 2127, 23137, 803
2023-04-21 03:45:55,1239, 9761, 3768, 7060, 8420, 6136, 4615, 2129, 23132, 802
2023-04-21 03:45:56,1238, 9760, 3772, 7059, 8417, 6136, 4602, 2129, 23117, 803
2023-04-21 03:45:57,1237, 9752, 3770, 7018, 8377, 6130, 4609, 2116, 23123, 802
2023-04-21 03:45:58,1236, 9751, 3769, 7055, 8407, 6132, 4611, 2126, 22809, 801
2023-04-21 03:45:59,1237, 9751, 3771, 7057, 8412, 6134, 4614, 2127, 23113, 801
2023-04-21 03:46:01,1237, 9754, 3771, 7058, 8408, 6127, 4613, 2128, 23095, 801
2023-04-21 03:46:02,1236, 9754, 3771, 7050, 8407, 6131, 4610, 2128, 23071, 801
