time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-04-21 03:48:38,924, 7434, 2719, 4991, 6237, 4711, 3615, 1449, 17120, 606
2023-04-21 03:48:39,930, 7480, 2728, 5022, 6246, 4684, 3627, 1445, 17111, 608
2023-04-21 03:48:40,924, 7431, 2724, 5004, 6251, 4717, 3625, 1450, 17197, 608
2023-04-21 03:48:41,929, 7441, 2726, 5005, 6240, 4706, 3617, 1440, 17177, 607
2023-04-21 03:48:42,925, 7459, 2721, 4996, 6242, 4711, 3618, 1450, 17180, 607
2023-04-21 03:48:43,930, 7458, 2728, 5002, 6232, 4723, 3615, 1450, 17181, 607
2023-04-21 03:48:45,931, 7466, 2728, 5006, 6242, 4722, 3618, 1451, 17188, 608
2023-04-21 03:48:46,930, 7470, 2727, 5006, 6240, 4723, 3618, 1450, 17190, 607
2023-04-21 03:48:47,930, 7461, 2727, 5004, 6233, 4724, 3617, 1449, 17111, 607
2023-04-21 03:48:48,931, 7457, 2725, 5001, 6234, 4720, 3615, 1448, 17177, 607
2023-04-21 03:48:49,931, 7452, 2727, 4997, 6236, 4728, 3610, 1448, 17191, 607
2023-04-21 03:48:51,931, 7462, 2725, 5004, 6236, 4725, 3614, 1449, 17200, 607
2023-04-21 03:48:52,932, 7456, 2727, 5000, 6237, 4728, 3617, 1449, 17222, 607
2023-04-21 03:48:53,932, 7463, 2727, 5002, 6236, 4726, 3619, 1450, 17183, 605
