time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 11:40:47,2054, 5811, 2375, 3022, 16646, 34600, 29562, 13658, 49309, 4181
2023-01-31 11:40:48,2008, 12196, 5732, 13440, 16975, 7239, 3282, 8318, 35735, 1996
2023-01-31 11:40:48,2014, 12194, 5740, 13447, 16950, 7228, 3277, 8304, 35691, 1998
2023-01-31 11:40:49,2006, 12191, 5739, 13403, 16920, 7233, 3272, 8304, 35648, 1994
2023-01-31 11:40:50,2010, 12179, 5746, 13431, 16970, 7255, 3282, 8339, 35740, 2003
2023-01-31 11:40:50,2016, 12246, 5764, 13414, 16916, 7239, 3271, 8314, 35574, 1994
2023-01-31 11:40:51,2012, 12200, 5766, 13421, 16980, 7259, 3285, 8336, 35848, 2006
2023-01-31 11:40:52,2019, 12299, 5782, 13446, 16939, 7252, 3276, 8329, 35687, 1996
2023-01-31 11:40:52,2004, 12205, 5755, 13402, 16936, 7230, 3274, 8294, 35757, 2001
2023-01-31 11:40:53,2004, 12187, 5756, 13404, 16914, 7240, 3274, 8314, 35631, 2000
2023-01-31 11:40:53,2011, 12205, 5761, 13405, 16913, 7206, 3269, 8291, 35622, 1993
2023-01-31 11:40:54,2019, 12287, 5778, 13495, 16933, 7232, 3274, 8310, 35633, 1993
2023-01-31 11:40:55,2007, 12153, 5738, 13344, 16958, 7250, 3278, 8328, 35732, 2002
2023-01-31 11:40:55,2018, 12284, 5781, 13464, 16895, 7213, 3268, 8284, 35573, 1989
2023-01-31 11:40:56,2008, 12155, 5748, 13356, 16950, 7251, 3277, 8335, 35687, 2000
2023-01-31 11:40:57,2013, 12229, 5768, 13428, 16953, 7243, 3281, 8332, 35813, 2004
2023-01-31 11:40:57,2008, 12163, 5766, 13380, 16916, 7238, 3269, 8320, 35628, 1998
2023-01-31 11:40:58,2005, 12157, 5750, 13389, 16951, 7239, 3274, 8319, 35683, 1999
2023-01-31 11:40:58,2012, 12188, 5746, 13389, 16924, 7226, 3268, 8301, 35539, 1990
2023-01-31 11:40:59,2008, 12144, 5742, 13387, 16916, 7216, 3270, 8290, 35504, 1988
2023-01-31 11:41:00,2014, 12220, 5759, 13405, 16941, 7243, 3280, 8332, 35669, 1997
2023-01-31 11:41:00,2006, 12130, 5752, 13419, 16949, 7239, 3276, 8322, 35613, 1998
2023-01-31 11:41:01,2008, 12138, 5740, 13363, 16947, 7236, 3278, 8319, 35657, 1996
2023-01-31 11:41:02,2018, 12257, 5788, 13438, 16925, 7217, 3271, 8295, 35528, 1993
2023-01-31 11:41:02,2006, 12107, 5754, 13370, 16899, 7217, 3268, 8296, 35587, 1991
2023-01-31 11:41:03,2008, 12166, 5753, 13385, 16877, 7194, 3268, 8261, 35513, 1988
2023-01-31 11:41:03,2014, 12250, 5775, 13429, 16861, 7197, 3267, 8267, 35527, 1988
2023-01-31 11:41:04,2007, 12097, 5731, 13355, 16834, 7175, 3263, 8240, 35419, 1980
2023-01-31 11:41:05,2015, 12198, 5758, 13365, 16935, 7225, 3276, 8306, 35696, 1995
2023-01-31 11:41:05,2007, 12125, 5739, 13342, 16895, 7217, 3269, 8294, 35586, 1991
2023-01-31 11:41:06,2002, 12165, 5749, 13366, 16897, 7234, 3266, 8315, 35463, 1990
2023-01-31 11:41:07,1986, 12020, 5686, 13223, 16854, 7209, 3255, 8298, 35585, 1992
2023-01-31 11:41:07,1995, 12077, 5742, 13324, 16892, 7219, 3264, 8305, 35487, 1990
2023-01-31 11:41:08,2004, 12153, 5742, 13344, 16898, 7215, 3268, 8308, 35605, 1998
2023-01-31 11:41:08,2011, 12208, 5774, 13384, 16881, 7221, 3269, 8293, 35535, 1993
2023-01-31 11:41:09,2004, 12163, 5752, 13378, 16903, 7228, 3272, 8314, 35496, 1996
2023-01-31 11:41:10,2008, 12192, 5775, 13381, 16914, 7221, 3275, 8303, 35636, 1999
2023-01-31 11:41:10,2011, 12149, 5771, 13390, 16943, 7231, 3276, 8326, 35605, 2000
2023-01-31 11:41:11,2010, 12169, 5766, 13381, 16902, 7211, 3270, 8296, 35409, 1985
2023-01-31 11:41:12,2022, 12252, 5786, 13477, 16889, 7221, 3270, 8293, 35589, 1994
2023-01-31 11:41:12,2011, 12137, 5760, 13360, 16901, 7216, 3270, 8292, 35608, 1992
2023-01-31 11:41:13,2007, 12127, 5757, 13349, 16881, 7229, 3264, 8317, 35589, 1996
2023-01-31 11:41:13,1992, 12058, 5733, 13284, 16878, 7221, 3261, 8304, 35601, 1999
2023-01-31 11:41:14,2009, 12149, 5759, 13360, 16861, 7196, 3264, 8263, 35576, 1993
2023-01-31 11:41:15,2011, 12135, 5761, 13373, 16922, 7207, 3274, 8297, 35517, 1994
2023-01-31 11:41:15,2011, 12185, 5767, 13358, 16880, 7220, 3267, 8295, 35722, 2004
2023-01-31 11:41:16,2006, 12130, 5746, 13332, 16869, 7208, 3259, 8291, 35457, 1995
2023-01-31 11:41:17,2004, 12097, 5744, 13331, 16912, 7233, 3267, 8309, 35652, 2000
2023-01-31 11:41:17,1999, 12069, 5740, 13333, 16889, 7220, 3263, 8299, 35488, 1992
2023-01-31 11:41:18,2004, 12116, 5752, 13340, 16893, 7220, 3269, 8301, 35616, 1997
2023-01-31 11:41:18,2014, 12183, 5774, 13406, 16878, 7203, 3265, 8284, 35549, 1992
2023-01-31 11:41:19,2006, 12087, 5748, 13328, 16890, 7218, 3264, 8294, 35516, 1993
