time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 11:37:29,2914, 11655, 6270, 14942, 29281, 32051, 25648, 12069, 64907, 4787
2023-01-31 11:37:29,2064, 5824, 2380, 3033, 16650, 34612, 29626, 13683, 49403, 4200
2023-01-31 11:37:30,2057, 5823, 2374, 3028, 16650, 34629, 29629, 13677, 49492, 4199
2023-01-31 11:37:30,2067, 5849, 2385, 3037, 16705, 34683, 29691, 13689, 49457, 4187
2023-01-31 11:37:31,2064, 5836, 2380, 3030, 16648, 34655, 29585, 13684, 49307, 4184
2023-01-31 11:37:32,2061, 5835, 2382, 3031, 16668, 34597, 29616, 13648, 49374, 4179
2023-01-31 11:37:32,2062, 5831, 2382, 3027, 16649, 34586, 29587, 13640, 49353, 4184
2023-01-31 11:37:33,2061, 5827, 2381, 3026, 16644, 34593, 29617, 13635, 49344, 4183
2023-01-31 11:37:34,2062, 5843, 2384, 3031, 16687, 34654, 29625, 13679, 49373, 4176
2023-01-31 11:37:34,2059, 5828, 2378, 3026, 16637, 34591, 29572, 13651, 49293, 4178
2023-01-31 11:37:35,2050, 5810, 2371, 3014, 16657, 34597, 29574, 13670, 49439, 4191
2023-01-31 11:37:35,2055, 5812, 2374, 3022, 16604, 34462, 29553, 13609, 49199, 4172
2023-01-31 11:37:36,2054, 5794, 2376, 3018, 16628, 34575, 29585, 13659, 49288, 4181
2023-01-31 11:37:37,2053, 5800, 2374, 3025, 16660, 34646, 29606, 13671, 49274, 4176
2023-01-31 11:37:37,2062, 5841, 2384, 3030, 16628, 34625, 29583, 13663, 49188, 4176
2023-01-31 11:37:38,2061, 5823, 2380, 3026, 16671, 34674, 29625, 13674, 49286, 4174
2023-01-31 11:37:39,2068, 5835, 2387, 3035, 16662, 34601, 29608, 13656, 49271, 4178
2023-01-31 11:37:39,2066, 5853, 2389, 3038, 16686, 34658, 29623, 13681, 49310, 4181
2023-01-31 11:37:40,2066, 5821, 2382, 3033, 16681, 34625, 29599, 13675, 49221, 4176
2023-01-31 11:37:40,2061, 5823, 2385, 3028, 16607, 34563, 29543, 13655, 49088, 4166
2023-01-31 11:37:41,2061, 5818, 2377, 3026, 16645, 34578, 29558, 13656, 49130, 4172
2023-01-31 11:37:42,2060, 5803, 2377, 3017, 16631, 34589, 29568, 13667, 49196, 4177
2023-01-31 11:37:42,2051, 5781, 2373, 3011, 16656, 34577, 29607, 13649, 49324, 4174
2023-01-31 11:37:43,2049, 5765, 2372, 3014, 16579, 34510, 29490, 13643, 49044, 4167
2023-01-31 11:37:43,2060, 5830, 2377, 3024, 16567, 34364, 29424, 13609, 49082, 4168
2023-01-31 11:37:44,2057, 5804, 2375, 3023, 16624, 34502, 29512, 13627, 48996, 4164
2023-01-31 11:37:45,2049, 5780, 2370, 3013, 16551, 34367, 29449, 13591, 49209, 4171
2023-01-31 11:37:45,2062, 5824, 2382, 3035, 16581, 34421, 29464, 13604, 49204, 4171
2023-01-31 11:37:46,2064, 5837, 2378, 3036, 16623, 34569, 29519, 13679, 49375, 4190
2023-01-31 11:37:47,2064, 5832, 2381, 3032, 16643, 34582, 29576, 13669, 49389, 4189
2023-01-31 11:37:47,2064, 5836, 2389, 3042, 16512, 34334, 29381, 13568, 48952, 4165
2023-01-31 11:37:48,2051, 5789, 2373, 3024, 16448, 34197, 29256, 13581, 48861, 4161
2023-01-31 11:37:48,2045, 5761, 2359, 3011, 16329, 33960, 29083, 13508, 48521, 4135
2023-01-31 11:37:49,2042, 5778, 2356, 3011, 16517, 34372, 29386, 13591, 49023, 4163
2023-01-31 11:37:50,2059, 5819, 2375, 3022, 16655, 34515, 29525, 13634, 49020, 4149
2023-01-31 11:37:50,2050, 5780, 2370, 3013, 16523, 34357, 29341, 13604, 48965, 4166
2023-01-31 11:37:51,2057, 5818, 2375, 3022, 16644, 34570, 29542, 13616, 49270, 4171
2023-01-31 11:37:52,2060, 5821, 2377, 3026, 16567, 34398, 29413, 13608, 49162, 4168
2023-01-31 11:37:52,2057, 5804, 2377, 3017, 16625, 34518, 29492, 13626, 49003, 4166
