time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-30 22:50:12,2845, 16068, 4394, 6769, 2912, 782, 1033, 2347, 23086, 363
2023-03-30 22:50:13,2824, 15939, 4445, 6705, 2904, 779, 1032, 2356, 23045, 364
2023-03-30 22:50:14,2818, 15896, 4475, 6690, 2899, 777, 1032, 2360, 23044, 364
2023-03-30 22:50:15,2811, 15847, 4492, 6678, 2898, 775, 1032, 2362, 23034, 364
2023-03-30 22:50:16,2799, 15834, 4503, 6669, 2898, 772, 1032, 2362, 22833, 363
2023-03-30 22:50:17,2783, 15846, 4489, 6666, 2888, 773, 1031, 2364, 22822, 359
2023-03-30 22:50:18,2800, 15819, 4508, 6669, 2895, 774, 1031, 2367, 22906, 362
2023-03-30 22:50:19,2800, 15802, 4526, 6660, 2895, 773, 1031, 2367, 23022, 365
2023-03-30 22:50:20,2798, 15785, 4523, 6652, 2892, 772, 1030, 2366, 22998, 364
2023-03-30 22:50:21,2793, 15765, 4524, 6645, 2888, 772, 1030, 2368, 22982, 364
2023-03-30 22:50:22,2790, 15762, 4527, 6644, 2887, 771, 1028, 2367, 22955, 364
2023-03-30 22:50:23,2788, 15765, 4528, 6638, 2889, 771, 1028, 2368, 22949, 364
2023-03-30 22:50:24,2788, 15774, 4532, 6638, 2889, 770, 1028, 2369, 22950, 364
2023-03-30 22:50:25,2786, 15770, 4533, 6634, 2890, 770, 1029, 2371, 22949, 364
2023-03-30 22:50:26,2786, 15764, 4535, 6635, 2888, 770, 1028, 2371, 22942, 364
2023-03-30 22:50:27,2784, 15754, 4534, 6635, 2889, 770, 1029, 2370, 22945, 364
2023-03-30 22:50:28,2784, 15751, 4534, 6632, 2889, 770, 1029, 2369, 22947, 364
2023-03-30 22:50:29,2785, 15746, 4535, 6633, 2889, 770, 1029, 2369, 22950, 364
2023-03-30 22:50:30,2784, 15738, 4536, 6631, 2889, 768, 1029, 2368, 22956, 364
2023-03-30 22:50:31,2769, 15734, 4533, 6629, 2885, 769, 1029, 2364, 22951, 363
2023-03-30 22:50:32,2785, 15733, 4525, 6631, 2887, 770, 1028, 2370, 22827, 362
2023-03-30 22:50:33,2781, 15700, 4532, 6622, 2883, 768, 1027, 2365, 22929, 363
2023-03-30 22:50:34,2776, 15675, 4527, 6616, 2883, 768, 1026, 2364, 22892, 363
2023-03-30 22:50:35,2780, 15694, 4532, 6617, 2887, 769, 1028, 2367, 22910, 363
2023-03-30 22:50:36,2786, 15723, 4540, 6627, 2890, 770, 1029, 2371, 22947, 364
2023-03-30 22:50:37,2787, 15728, 4542, 6629, 2890, 770, 1029, 2371, 22947, 364
2023-03-30 22:50:38,2787, 15734, 4544, 6631, 2891, 771, 1030, 2372, 22954, 364
2023-03-30 22:50:39,2788, 15747, 4547, 6636, 2893, 771, 1029, 2373, 22970, 364
2023-03-30 22:50:40,2785, 15741, 4545, 6634, 2891, 771, 1029, 2372, 22916, 364
2023-03-30 22:50:41,2782, 15728, 4542, 6632, 2892, 770, 1029, 2372, 22923, 364
2023-03-30 22:50:43,2786, 15734, 4543, 6634, 2893, 771, 1029, 2373, 22971, 364
2023-03-30 22:50:44,2787, 15729, 4544, 6636, 2889, 771, 1030, 2373, 22980, 365
2023-03-30 22:50:45,2786, 15736, 4548, 6634, 2890, 770, 1029, 2373, 22974, 365
2023-03-30 22:50:46,2784, 15740, 4544, 6625, 2894, 768, 1027, 2375, 22974, 365
2023-03-30 22:50:47,2774, 15743, 4545, 6633, 2892, 771, 1029, 2375, 22973, 364
2023-03-30 22:50:48,2780, 15742, 4540, 6633, 2891, 771, 1029, 2374, 22965, 363
2023-03-30 22:50:49,2782, 15727, 4541, 6629, 2887, 769, 1026, 2371, 22948, 365
2023-03-30 22:50:50,2770, 15647, 4520, 6600, 2875, 764, 1023, 2356, 22873, 363
2023-03-30 22:50:51,2755, 15582, 4501, 6584, 2878, 767, 1024, 2361, 22799, 362
2023-03-30 22:50:52,2775, 15693, 4532, 6612, 2895, 771, 1030, 2373, 22967, 364
2023-03-30 22:50:53,2786, 15745, 4553, 6636, 2901, 771, 1032, 2374, 23006, 365
2023-03-30 22:50:54,2783, 15747, 4553, 6635, 2897, 771, 1030, 2375, 22969, 365
2023-03-30 22:50:55,2784, 15742, 4553, 6634, 2886, 772, 1029, 2375, 22973, 365
2023-03-30 22:50:56,2787, 15706, 4532, 6640, 2895, 772, 1032, 2366, 22991, 365
2023-03-30 22:50:57,2788, 15699, 4548, 6636, 2904, 771, 1032, 2374, 23020, 365
2023-03-30 22:50:58,2790, 15741, 4559, 6615, 2904, 772, 1030, 2381, 23024, 366
2023-03-30 22:50:59,2789, 15766, 4556, 6636, 2906, 773, 1032, 2381, 22996, 366
2023-03-30 22:51:00,2785, 15761, 4554, 6643, 2905, 773, 1033, 2381, 23006, 365
