time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-06 14:30:54,663, 2836, 1455, 3822, 7280, 8192, 6123, 2912, 14110, 791
2023-03-06 14:30:55,293, 2198, 984, 2237, 2152, 602, 356, 1423, 3904, 136
2023-03-06 14:30:56,292, 2201, 984, 2234, 2155, 604, 357, 1426, 3902, 136
2023-03-06 14:30:57,292, 2207, 987, 2239, 2158, 604, 357, 1427, 3912, 137
2023-03-06 14:30:58,292, 2206, 988, 2241, 2160, 604, 357, 1429, 3917, 137
2023-03-06 14:30:59,292, 2198, 986, 2234, 2154, 603, 356, 1425, 3909, 136
2023-03-06 14:31:00,292, 2196, 987, 2235, 2158, 604, 356, 1426, 3917, 137
2023-03-06 14:31:01,293, 2195, 987, 2235, 2158, 604, 357, 1427, 3918, 137
2023-03-06 14:31:02,293, 2200, 989, 2236, 2158, 604, 357, 1428, 3922, 137
2023-03-06 14:31:03,293, 2200, 987, 2237, 2159, 604, 357, 1427, 3923, 137
2023-03-06 14:31:04,294, 2198, 986, 2238, 2157, 604, 357, 1426, 3921, 137
2023-03-06 14:31:05,293, 2193, 986, 2237, 2157, 603, 357, 1429, 3916, 137
2023-03-06 14:31:06,293, 2188, 986, 2236, 2158, 604, 357, 1428, 3910, 137
2023-03-06 14:31:07,293, 2192, 986, 2237, 2157, 604, 357, 1429, 3921, 137
2023-03-06 14:31:09,293, 2191, 988, 2239, 2159, 604, 357, 1430, 3919, 137
2023-03-06 14:31:10,293, 2192, 990, 2239, 2160, 604, 357, 1428, 3916, 137
2023-03-06 14:31:11,293, 2193, 990, 2238, 2160, 604, 357, 1430, 3917, 137
2023-03-06 14:31:12,292, 2194, 990, 2238, 2160, 604, 357, 1430, 3917, 137
2023-03-06 14:31:13,293, 2201, 990, 2236, 2158, 604, 357, 1431, 3919, 137
2023-03-06 14:31:14,293, 2202, 990, 2237, 2158, 604, 357, 1430, 3918, 137
2023-03-06 14:31:15,293, 2195, 990, 2237, 2159, 604, 357, 1429, 3921, 137
2023-03-06 14:31:16,294, 2197, 990, 2236, 2159, 604, 357, 1429, 3915, 137
2023-03-06 14:31:17,294, 2200, 990, 2236, 2159, 604, 357, 1428, 3915, 137
2023-03-06 14:31:18,293, 2194, 991, 2237, 2159, 604, 357, 1428, 3927, 137
2023-03-06 14:31:19,294, 2195, 992, 2236, 2157, 604, 357, 1429, 3926, 137
2023-03-06 14:31:20,294, 2198, 990, 2235, 2157, 604, 357, 1429, 3922, 137
2023-03-06 14:31:21,294, 2198, 991, 2236, 2155, 604, 357, 1429, 3922, 137
2023-03-06 14:31:22,293, 2196, 990, 2236, 2157, 604, 357, 1429, 3919, 137
2023-03-06 14:31:23,293, 2194, 989, 2237, 2156, 604, 357, 1429, 3911, 137
2023-03-06 14:31:24,293, 2194, 990, 2235, 2157, 603, 357, 1429, 3918, 137
