time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-04-21 03:21:36,550, 5616, 1991, 2629, 940, 233, 367, 831, 8674, 133
2023-04-21 03:21:37,551, 5615, 1996, 2626, 940, 233, 368, 833, 8683, 133
2023-04-21 03:21:38,551, 5616, 1999, 2626, 940, 233, 368, 833, 8682, 133
2023-04-21 03:21:39,551, 5613, 1999, 2624, 939, 233, 368, 833, 8679, 133
2023-04-21 03:21:40,551, 5607, 2000, 2622, 939, 233, 367, 832, 8677, 133
2023-04-21 03:21:42,551, 5603, 2000, 2618, 938, 232, 367, 831, 8686, 133
2023-04-21 03:21:43,551, 5597, 1999, 2614, 938, 232, 367, 831, 8687, 134
2023-04-21 03:21:44,550, 5597, 1999, 2614, 938, 233, 367, 832, 8694, 134
2023-04-21 03:21:45,551, 5604, 2001, 2619, 939, 233, 368, 833, 8696, 134
2023-04-21 03:21:46,551, 5607, 2003, 2619, 939, 233, 367, 833, 8699, 134
2023-04-21 03:21:47,551, 5606, 2004, 2618, 939, 233, 367, 834, 8699, 134
