time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 10:59:55,11920, 48103, 25549, 60946, 65535, 65535, 65535, 49290, 65535, 19855
2023-01-31 10:59:55,11890, 47975, 25541, 60902, 65535, 65535, 65535, 49314, 65535, 19856
2023-01-31 10:59:56,11883, 47886, 25531, 60850, 65535, 65535, 65535, 49362, 65535, 19850
2023-01-31 10:59:56,11875, 47989, 25548, 60893, 65535, 65535, 65535, 49165, 65535, 19821
2023-01-31 10:59:57,11861, 47830, 25533, 60793, 65535, 65535, 65535, 49189, 65535, 19830
2023-01-31 10:59:58,11866, 47805, 25526, 60734, 65535, 65535, 65535, 49189, 65535, 19830
2023-01-31 10:59:58,11875, 47834, 25529, 60751, 65535, 65535, 65535, 49268, 65535, 19825
2023-01-31 10:59:59,11862, 47783, 25565, 60736, 65535, 65535, 65535, 49191, 65535, 19808
2023-01-31 11:00:00,11849, 47753, 25525, 60743, 65535, 65535, 65535, 49282, 65535, 19809
2023-01-31 11:00:00,11864, 47816, 25533, 60724, 65535, 65535, 65535, 49276, 65535, 19804
2023-01-31 11:00:01,11868, 47686, 25529, 60702, 65535, 65535, 65535, 49132, 65535, 19792
2023-01-31 11:00:01,11879, 47778, 25534, 60669, 65535, 65535, 65535, 49210, 65535, 19812
2023-01-31 11:00:02,11886, 47808, 25555, 60682, 65535, 65535, 65535, 49261, 65535, 19816
2023-01-31 11:00:03,11876, 47758, 25544, 60664, 65535, 65535, 65535, 49263, 65535, 19802
2023-01-31 11:00:03,11886, 47775, 25553, 60682, 65535, 65535, 65535, 49164, 65535, 19809
2023-01-31 11:00:04,11893, 47769, 25565, 60686, 65535, 65535, 65535, 49208, 65535, 19807
2023-01-31 11:00:05,11877, 47838, 25551, 60686, 65535, 65535, 65535, 49163, 65535, 19780
2023-01-31 11:00:05,11877, 47960, 25552, 60704, 65535, 65535, 65535, 49163, 65535, 19780
2023-01-31 11:00:06,11865, 47818, 25521, 60673, 65535, 65535, 65535, 49255, 65535, 19790
2023-01-31 11:00:06,11859, 47679, 25538, 60651, 65535, 65535, 65535, 49191, 65535, 19802
2023-01-31 11:00:07,11872, 47710, 25544, 60686, 65535, 65535, 65535, 49221, 65535, 19807
2023-01-31 11:00:08,11861, 47863, 25561, 60679, 65535, 65535, 65535, 49243, 65535, 19819
2023-01-31 11:00:08,11889, 47874, 25592, 60688, 65535, 65535, 65535, 49132, 65535, 19786
2023-01-31 11:00:09,11898, 47740, 25559, 60621, 65535, 65535, 65535, 48944, 65535, 19894
2023-01-31 11:00:10,11899, 47598, 25509, 60385, 65535, 65535, 65535, 48912, 65535, 19859
2023-01-31 11:00:10,11888, 47459, 25493, 60309, 65535, 65535, 65535, 48732, 65535, 19753
2023-01-31 11:00:11,11867, 47387, 25443, 60302, 65535, 65535, 65535, 48766, 65535, 19697
2023-01-31 11:00:11,11823, 47374, 25381, 60331, 65535, 65535, 65535, 49356, 65535, 19821
2023-01-31 11:00:12,11821, 47522, 25430, 60388, 65535, 65535, 65535, 48625, 65535, 19677
2023-01-31 11:00:13,11849, 47669, 25502, 60614, 65535, 65535, 65535, 49025, 65535, 19796
2023-01-31 11:00:13,11838, 47492, 25462, 60374, 65535, 65535, 65535, 49072, 65535, 19827
2023-01-31 11:00:14,11897, 47771, 25592, 60696, 65535, 65535, 65535, 49156, 65535, 19780
2023-01-31 11:00:15,11859, 47697, 25544, 60619, 65535, 65535, 65535, 49038, 65535, 19767
2023-01-31 11:00:15,11899, 47782, 25559, 60836, 65535, 65535, 65535, 48917, 65535, 19634
2023-01-31 11:00:16,11787, 47447, 25374, 60177, 65535, 65535, 65535, 48751, 65535, 19735
2023-01-31 11:00:16,11938, 47635, 25595, 60513, 65535, 65535, 65535, 49028, 65535, 19735
2023-01-31 11:00:17,11849, 47854, 25436, 60445, 65535, 65535, 65535, 48699, 65535, 19592
2023-01-31 11:00:18,11890, 47588, 25590, 60505, 65535, 65535, 65535, 49285, 65535, 19825
2023-01-31 11:00:18,11884, 47502, 25613, 60510, 65535, 65535, 65535, 49415, 65535, 19864
2023-01-31 11:00:19,11949, 47999, 25838, 61114, 65535, 65535, 65535, 49591, 65535, 19881
2023-01-31 11:00:20,11890, 47716, 25690, 60755, 65535, 65535, 65535, 49086, 65535, 19843
2023-01-31 11:00:20,11900, 47695, 25607, 60749, 65535, 65535, 65535, 49250, 65535, 19930
2023-01-31 11:00:21,11905, 47692, 25608, 60716, 65535, 65535, 65535, 49227, 65535, 19892
2023-01-31 11:00:21,11924, 47842, 25653, 60716, 65535, 65535, 65535, 49110, 65535, 19865
2023-01-31 11:00:22,11896, 47769, 25611, 60596, 65535, 65535, 65535, 49286, 65535, 19883
2023-01-31 11:00:23,11943, 47884, 25690, 60871, 65535, 65535, 65535, 49277, 65535, 19899
2023-01-31 11:00:23,11895, 47685, 25652, 60733, 65535, 65535, 65535, 49119, 65535, 19859
2023-01-31 11:00:24,11926, 47907, 25725, 60943, 65535, 65535, 65535, 49430, 65535, 19929
2023-01-31 11:00:25,12034, 48553, 26020, 61878, 65535, 65535, 65535, 49792, 65535, 19390
2023-01-31 11:00:25,11824, 47573, 24987, 60424, 65535, 65535, 65535, 48148, 65535, 18716
2023-01-31 11:00:26,11821, 47033, 25164, 59826, 65535, 65535, 65535, 49583, 65535, 19618
2023-01-31 11:00:26,11874, 47874, 25437, 60965, 65535, 65535, 65535, 49541, 65535, 20189
2023-01-31 11:00:27,11886, 47199, 25436, 59788, 65535, 65535, 65535, 48881, 65535, 19330
2023-01-31 11:00:28,11935, 47118, 25568, 59788, 65535, 65535, 65535, 49571, 65535, 19238
2023-01-31 11:00:28,11802, 46521, 25115, 58907, 65535, 65535, 65535, 50626, 65535, 20384
2023-01-31 11:00:29,12048, 47609, 25917, 60470, 65535, 65535, 65535, 49910, 65535, 20486
2023-01-31 11:00:30,12078, 47867, 25896, 61116, 65535, 65535, 65535, 50156, 65535, 20157
2023-01-31 11:00:30,11979, 47573, 25724, 60629, 65535, 65535, 65535, 49972, 65535, 20028
2023-01-31 11:00:31,12037, 47978, 25871, 61081, 65535, 65535, 65535, 50070, 65535, 20117
2023-01-31 11:00:31,12037, 47849, 25908, 61074, 65535, 65535, 65535, 50118, 65535, 20149
2023-01-31 11:00:32,12027, 48085, 25823, 61224, 65535, 65535, 65535, 49839, 65535, 20146
2023-01-31 11:00:33,11865, 46913, 25534, 60017, 65535, 65535, 65535, 48859, 65535, 19124
2023-01-31 11:00:33,11958, 47430, 25780, 60726, 65535, 65535, 65535, 48913, 65535, 19888
2023-01-31 11:00:34,11998, 47598, 25751, 60883, 65535, 65535, 65535, 49233, 65535, 19798
2023-01-31 11:00:35,11952, 47807, 25750, 60929, 65535, 65535, 65535, 49594, 65535, 20011
2023-01-31 11:00:35,12058, 48801, 25984, 62181, 65535, 65535, 65535, 49559, 65535, 20035
2023-01-31 11:00:36,11980, 48167, 25741, 61478, 65535, 65535, 65535, 49233, 65535, 19847
2023-01-31 11:00:37,11950, 47902, 25704, 61190, 65535, 65535, 65535, 49499, 65535, 19933
2023-01-31 11:00:37,11970, 47833, 25703, 60980, 65535, 65535, 65535, 49955, 65535, 20150
2023-01-31 11:00:38,11999, 48117, 25773, 61265, 65535, 65535, 65535, 49224, 65535, 19841
2023-01-31 11:00:38,11938, 47747, 25643, 60703, 65535, 65535, 65535, 49266, 65535, 19830
2023-01-31 11:00:39,11967, 47936, 25765, 61007, 65535, 65535, 65535, 49224, 65535, 19803
2023-01-31 11:00:40,11929, 47769, 25641, 60925, 65535, 65535, 65535, 49312, 65535, 19811
2023-01-31 11:00:40,11942, 47855, 25719, 60916, 65535, 65535, 65535, 49245, 65535, 19827
2023-01-31 11:00:41,11943, 48038, 25739, 61022, 65535, 65535, 65535, 49265, 65535, 19827
2023-01-31 11:00:42,11936, 47891, 25721, 60967, 65535, 65535, 65535, 49278, 65535, 19845
2023-01-31 11:00:42,11948, 47868, 25699, 60884, 65535, 65535, 65535, 49133, 65535, 19795
2023-01-31 11:00:43,11943, 47751, 25643, 60717, 65535, 65535, 65535, 49120, 65535, 19783
2023-01-31 11:00:43,11955, 47875, 25730, 61005, 65535, 65535, 65535, 49190, 65535, 19806
2023-01-31 11:00:44,11955, 47995, 25764, 60942, 65535, 65535, 65535, 49275, 65535, 19842
2023-01-31 11:00:45,11941, 47931, 25754, 60876, 65535, 65535, 65535, 49175, 65535, 19854
2023-01-31 11:00:45,11938, 47732, 25731, 60815, 65535, 65535, 65535, 49151, 65535, 19864
2023-01-31 11:00:46,11940, 47591, 25703, 60731, 65535, 65535, 65535, 49246, 65535, 19859
2023-01-31 11:00:47,11950, 47872, 25734, 60799, 65535, 65535, 65535, 49136, 65535, 19831
2023-01-31 11:00:47,11980, 47628, 25688, 60788, 65535, 65535, 65535, 49559, 65535, 19969
2023-01-31 11:00:48,11990, 47923, 25834, 61360, 65535, 65535, 65535, 49333, 65535, 19820
2023-01-31 11:00:48,11949, 47504, 25716, 60696, 65535, 65535, 65535, 48931, 65535, 19880
2023-01-31 11:00:49,12070, 48200, 25929, 61216, 65535, 65535, 65535, 49485, 65535, 19946
2023-01-31 11:00:50,11981, 47664, 25768, 60903, 65535, 65535, 65535, 49219, 65535, 19861
2023-01-31 11:00:50,11964, 47649, 25700, 60825, 65535, 65535, 65535, 48920, 65535, 19654
2023-01-31 11:00:51,11882, 47427, 25474, 60630, 65535, 65535, 65535, 49779, 65535, 19970
2023-01-31 11:00:52,12017, 48187, 25800, 61668, 65535, 65535, 65535, 49861, 65535, 19887
2023-01-31 11:00:52,11884, 47512, 25601, 60872, 65535, 65535, 65535, 49011, 65535, 19676
2023-01-31 11:00:53,11963, 47661, 25727, 60907, 65535, 65535, 65535, 49517, 65535, 19596
2023-01-31 11:00:53,11767, 46752, 25109, 59496, 65535, 65535, 65535, 48734, 65535, 19201
2023-01-31 11:00:54,11866, 46889, 25113, 59278, 65535, 65535, 65535, 49830, 65535, 18918
2023-01-31 11:00:55,11954, 48154, 25655, 61006, 65535, 65535, 65535, 49627, 65535, 19117
2023-01-31 11:00:55,11946, 47936, 25550, 60605, 65535, 65535, 65535, 49143, 65535, 19653
2023-01-31 11:00:56,11896, 47533, 25517, 60156, 65535, 65535, 65535, 49116, 65535, 20001
2023-01-31 11:00:57,11924, 47680, 25592, 60147, 65535, 65535, 65535, 48845, 65535, 19685
2023-01-31 11:00:57,11952, 47894, 25622, 60638, 65535, 65535, 65535, 49417, 65535, 19879
2023-01-31 11:00:58,11856, 47393, 25383, 60001, 65535, 65535, 65535, 49080, 65535, 19862
2023-01-31 11:00:58,11897, 47719, 25491, 60204, 65535, 65535, 65535, 49314, 65535, 19802
2023-01-31 11:00:59,11828, 47463, 25381, 60085, 65535, 65535, 65535, 49511, 65535, 19804
2023-01-31 11:01:00,11792, 47355, 25329, 60020, 65535, 65535, 65535, 48984, 65535, 19809
2023-01-31 11:01:00,11766, 47113, 25263, 59670, 65535, 65535, 65535, 49342, 65535, 19806
2023-01-31 11:01:01,11796, 47325, 25353, 59936, 65535, 65535, 65535, 49302, 65535, 19844
2023-01-31 11:01:02,11873, 47722, 25536, 60482, 65535, 65535, 65535, 49252, 65535, 19827
2023-01-31 11:01:02,11838, 47607, 25415, 60192, 65535, 65535, 65535, 49329, 65535, 19794
2023-01-31 11:01:03,11853, 47598, 25479, 60192, 65535, 65535, 65535, 49275, 65535, 19745
2023-01-31 11:01:03,11845, 47652, 25493, 60264, 65535, 65535, 65535, 49173, 65535, 19840
2023-01-31 11:01:04,11854, 47835, 25453, 60417, 65535, 65535, 65535, 49236, 65535, 19725
2023-01-31 11:01:05,11809, 47404, 25424, 59960, 65535, 65535, 65535, 49249, 65535, 19678
2023-01-31 11:01:05,11809, 47612, 25448, 60222, 65535, 65535, 65535, 49424, 65535, 19764
2023-01-31 11:01:06,11829, 47732, 25500, 60509, 65535, 65535, 65535, 49256, 65535, 19742
2023-01-31 11:01:07,11786, 47345, 25354, 59907, 65535, 65535, 65535, 49286, 65535, 19870
2023-01-31 11:01:07,11908, 47756, 25516, 60268, 65535, 65535, 65535, 48827, 65535, 19778
2023-01-31 11:01:08,11858, 47245, 25403, 59754, 65535, 65535, 65535, 48293, 65535, 19616
2023-01-31 11:01:08,11995, 47946, 25615, 60344, 65535, 65535, 65535, 48603, 65535, 19672
2023-01-31 11:01:09,11822, 47309, 25302, 59529, 65535, 65535, 65535, 49369, 65535, 19824
2023-01-31 11:01:10,11778, 47434, 25260, 60076, 65535, 65535, 65535, 49541, 65535, 19947
2023-01-31 11:01:10,11799, 47255, 25272, 59868, 65535, 65535, 65535, 48721, 65535, 19760
2023-01-31 11:01:11,11783, 47147, 25252, 59845, 65535, 65535, 65535, 48546, 65535, 19639
2023-01-31 11:01:12,11790, 47021, 25265, 59718, 65535, 65535, 65535, 48795, 65535, 19551
2023-01-31 11:01:12,11840, 47444, 25392, 59807, 65535, 65535, 65535, 48816, 65535, 19624
2023-01-31 11:01:13,11829, 47276, 25333, 59771, 65535, 65535, 65535, 49039, 65535, 19714
2023-01-31 11:01:13,11873, 47560, 25469, 60042, 65535, 65535, 65535, 49216, 65535, 19757
2023-01-31 11:01:14,11859, 47599, 25467, 60245, 65535, 65535, 65535, 49105, 65535, 19799
2023-01-31 11:01:15,11874, 47654, 25479, 60290, 65535, 65535, 65535, 49249, 65535, 19774
2023-01-31 11:01:15,11851, 47659, 25484, 60285, 65535, 65535, 65535, 49474, 65535, 19804
2023-01-31 11:01:16,11851, 47754, 25497, 60391, 65535, 65535, 65535, 49615, 65535, 19747
2023-01-31 11:01:17,11828, 47616, 25479, 60191, 65535, 65535, 65535, 49265, 65535, 19737
2023-01-31 11:01:17,11852, 47755, 25495, 60353, 65535, 65535, 65535, 49178, 65535, 19757
2023-01-31 11:01:18,11827, 47399, 25411, 59957, 65535, 65535, 65535, 49064, 65535, 19758
2023-01-31 11:01:18,11844, 47671, 25480, 60216, 65535, 65535, 65535, 49266, 65535, 19753
2023-01-31 11:01:19,11829, 47539, 25459, 60171, 65535, 65535, 65535, 49218, 65535, 19795
2023-01-31 11:01:20,11814, 47507, 25405, 60166, 65535, 65535, 65535, 49248, 65535, 19761
2023-01-31 11:01:20,11824, 47576, 25433, 60089, 65535, 65535, 65535, 49227, 65535, 19761
2023-01-31 11:01:21,11826, 47657, 25493, 60324, 65535, 65535, 65535, 49135, 65535, 19763
2023-01-31 11:01:22,11834, 47489, 25479, 60212, 65535, 65535, 65535, 49192, 65535, 19792
2023-01-31 11:01:22,11856, 47780, 25515, 60234, 65535, 65535, 65535, 49207, 65535, 19789
2023-01-31 11:01:23,11858, 47537, 25500, 60187, 65535, 65535, 65535, 49291, 65535, 19814
2023-01-31 11:01:24,11867, 47682, 25539, 60220, 65535, 65535, 65535, 49433, 65535, 19817
2023-01-31 11:01:24,11849, 47764, 25508, 60239, 65535, 65535, 65535, 49154, 65535, 19783
2023-01-31 11:01:25,11826, 47669, 25486, 60196, 65535, 65535, 65535, 49242, 65535, 19795
2023-01-31 11:01:25,11836, 47620, 25501, 60249, 65535, 65535, 65535, 49148, 65535, 19780
2023-01-31 11:01:26,11839, 47533, 25478, 60174, 65535, 65535, 65535, 49218, 65535, 19776
2023-01-31 11:01:27,11852, 47507, 25462, 60143, 65535, 65535, 65535, 49123, 65535, 19770
2023-01-31 11:01:27,11841, 47442, 25472, 60071, 65535, 65535, 65535, 49246, 65535, 19784
2023-01-31 11:01:28,11891, 47747, 25570, 60423, 65535, 65535, 65535, 49169, 65535, 19791
2023-01-31 11:01:29,11820, 47512, 25472, 60141, 65535, 65535, 65535, 49263, 65535, 19788
2023-01-31 11:01:29,11829, 47672, 25482, 60255, 65535, 65535, 65535, 49104, 65535, 19777
2023-01-31 11:01:30,11823, 47546, 25449, 60106, 65535, 65535, 65535, 49257, 65535, 19772
2023-01-31 11:01:30,11837, 47555, 25466, 60108, 65535, 65535, 65535, 49153, 65535, 19756
2023-01-31 11:01:31,11832, 47558, 25480, 60200, 65535, 65535, 65535, 49171, 65535, 19768
2023-01-31 11:01:32,11843, 47592, 25477, 60070, 65535, 65535, 65535, 49155, 65535, 19742
2023-01-31 11:01:32,11859, 47753, 25517, 60212, 65535, 65535, 65535, 49219, 65535, 19763
2023-01-31 11:01:33,11853, 47667, 25486, 60168, 65535, 65535, 65535, 49179, 65535, 19755
2023-01-31 11:01:34,11858, 47705, 25482, 60208, 65535, 65535, 65535, 49134, 65535, 19766
2023-01-31 11:01:34,11848, 47663, 25503, 60214, 65535, 65535, 65535, 49090, 65535, 19779
2023-01-31 11:01:35,11820, 47479, 25453, 60138, 65535, 65535, 65535, 49148, 65535, 19761
2023-01-31 11:01:35,11820, 47569, 25473, 60203, 65535, 65535, 65535, 49112, 65535, 19759
2023-01-31 11:01:36,11833, 47719, 25494, 60256, 65535, 65535, 65535, 49179, 65535, 19766
2023-01-31 11:01:37,11832, 47578, 25453, 60204, 65535, 65535, 65535, 49517, 65535, 19790
2023-01-31 11:01:37,11807, 47601, 25490, 60175, 65535, 65535, 65535, 49221, 65535, 19772
2023-01-31 11:01:38,11810, 47626, 25485, 60216, 65535, 65535, 65535, 49143, 65535, 19773
2023-01-31 11:01:39,11843, 47732, 25494, 60183, 65535, 65535, 65535, 49541, 65535, 19796
2023-01-31 11:01:39,11857, 47681, 25511, 60144, 65535, 65535, 65535, 49191, 65535, 19786
2023-01-31 11:01:40,11866, 47700, 25550, 60189, 65535, 65535, 65535, 49215, 65535, 19778
2023-01-31 11:01:40,11875, 47864, 25547, 60266, 65535, 65535, 65535, 49175, 65535, 19773
2023-01-31 11:01:41,11838, 47685, 25523, 60132, 65535, 65535, 65535, 49193, 65535, 19768
2023-01-31 11:01:42,11843, 47743, 25523, 60298, 65535, 65535, 65535, 49203, 65535, 19756
2023-01-31 11:01:42,11841, 47755, 25508, 60220, 65535, 65535, 65535, 49477, 65535, 19770
2023-01-31 11:01:43,11856, 47766, 25528, 60232, 65535, 65535, 65535, 49213, 65535, 19770
2023-01-31 11:01:44,11878, 47651, 25541, 60212, 65535, 65535, 65535, 49122, 65535, 19777
2023-01-31 11:01:44,11869, 47648, 25500, 60201, 65535, 65535, 65535, 49218, 65535, 19777
2023-01-31 11:01:45,11861, 47750, 25503, 60248, 65535, 65535, 65535, 49190, 65535, 19751
2023-01-31 11:01:45,11853, 47760, 25499, 60281, 65535, 65535, 65535, 49457, 65535, 19772
2023-01-31 11:01:46,11855, 47914, 25510, 60343, 65535, 65535, 65535, 49194, 65535, 19763
2023-01-31 11:01:47,11857, 47835, 25532, 60290, 65535, 65535, 65535, 49595, 65535, 19776
2023-01-31 11:01:47,11847, 47794, 25536, 60329, 65535, 65535, 65535, 49576, 65535, 19782
2023-01-31 11:01:48,11846, 47635, 25531, 60266, 65535, 65535, 65535, 49473, 65535, 19797
2023-01-31 11:01:49,11855, 47706, 25529, 60337, 65535, 65535, 65535, 49167, 65535, 19778
2023-01-31 11:01:49,11847, 47617, 25519, 60271, 65535, 65535, 65535, 49457, 65535, 19809
2023-01-31 11:01:50,11849, 47570, 25530, 60303, 65535, 65535, 65535, 49187, 65535, 19781
2023-01-31 11:01:50,11859, 47620, 25516, 60188, 65535, 65535, 65535, 49605, 65535, 19817
2023-01-31 11:01:51,11864, 47685, 25509, 60253, 65535, 65535, 65535, 49154, 65535, 19768
2023-01-31 11:01:52,11848, 47607, 25479, 60116, 65535, 65535, 65535, 49145, 65535, 19768
2023-01-31 11:01:52,11872, 47668, 25511, 60204, 65535, 65535, 65535, 49223, 65535, 19772
2023-01-31 11:01:53,11880, 47739, 25536, 60207, 65535, 65535, 65535, 49582, 65535, 19781
2023-01-31 11:01:54,11869, 47726, 25513, 60183, 65535, 65535, 65535, 49215, 65535, 19777
2023-01-31 11:01:54,11859, 47606, 25510, 60213, 65535, 65535, 65535, 49618, 65535, 19777
2023-01-31 11:01:55,11853, 47446, 25460, 60159, 65535, 65535, 65535, 49154, 65535, 19758
2023-01-31 11:01:55,11853, 47492, 25482, 60191, 65535, 65535, 65535, 49192, 65535, 19770
2023-01-31 11:01:56,11835, 47563, 25452, 60148, 65535, 65535, 65535, 49165, 65535, 19768
