time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-06 12:29:17,219, 865, 431, 1264, 2386, 2482, 1858, 740, 5296, 276
2023-03-06 12:29:19,626, 2608, 1346, 3576, 6966, 7518, 5970, 2621, 12164, 744
2023-03-06 12:29:20,624, 2607, 1346, 3570, 6969, 7512, 5975, 2621, 12185, 745
2023-03-06 12:29:21,627, 2606, 1348, 3572, 6964, 7522, 5979, 2621, 12189, 744
2023-03-06 12:29:22,627, 2606, 1348, 3575, 6964, 7515, 5973, 2619, 12184, 744
2023-03-06 12:29:23,626, 2604, 1346, 3568, 6956, 7508, 5961, 2618, 12151, 742
2023-03-06 12:29:24,626, 2586, 1344, 3559, 6951, 7501, 5966, 2615, 12153, 742
2023-03-06 12:29:25,624, 2586, 1347, 3568, 6951, 7502, 5964, 2616, 12163, 742
2023-03-06 12:29:26,626, 2600, 1347, 3564, 6956, 7508, 5963, 2618, 12127, 742
2023-03-06 12:29:27,626, 2609, 1349, 3572, 6956, 7512, 5965, 2618, 12177, 745
2023-03-06 12:29:28,627, 2593, 1345, 3571, 6954, 7509, 5965, 2616, 12186, 744
2023-03-06 12:29:29,626, 2584, 1343, 3566, 6954, 7512, 5964, 2620, 12148, 744
2023-03-06 12:29:30,626, 2594, 1346, 3570, 6955, 7517, 5967, 2621, 12150, 744
2023-03-06 12:29:31,627, 2605, 1350, 3570, 6956, 7516, 5963, 2620, 12164, 744
2023-03-06 12:29:32,627, 2599, 1351, 3571, 6959, 7518, 5965, 2622, 12181, 746
2023-03-06 12:29:33,628, 2597, 1352, 3566, 6956, 7518, 5965, 2623, 12194, 746
2023-03-06 12:29:34,628, 2601, 1351, 3571, 6953, 7524, 5964, 2620, 12187, 746
2023-03-06 12:29:35,629, 2595, 1351, 3573, 6957, 7534, 5972, 2622, 12191, 745
2023-03-06 12:29:36,629, 2603, 1353, 3577, 6967, 7542, 5980, 2628, 12222, 746
2023-03-06 12:29:37,629, 2603, 1353, 3574, 6964, 7537, 5976, 2623, 12228, 747
2023-03-06 12:29:38,627, 2595, 1350, 3569, 6963, 7523, 5972, 2620, 12197, 746
2023-03-06 12:29:39,625, 2584, 1346, 3568, 6960, 7509, 5965, 2619, 12181, 745
2023-03-06 12:29:40,624, 2592, 1347, 3552, 6958, 7491, 5942, 2619, 12162, 743
2023-03-06 12:29:41,627, 2589, 1344, 3560, 6945, 7516, 5965, 2616, 12166, 744
2023-03-06 12:29:42,627, 2600, 1348, 3567, 6959, 7519, 5969, 2619, 12186, 745
2023-03-06 12:29:43,626, 2593, 1349, 3565, 6964, 7511, 5970, 2619, 12194, 745
2023-03-06 12:29:44,626, 2600, 1349, 3563, 6959, 7512, 5964, 2620, 12175, 744
2023-03-06 12:29:45,627, 2597, 1350, 3561, 6960, 7513, 5963, 2618, 12178, 744
2023-03-06 12:29:46,626, 2603, 1349, 3564, 6957, 7513, 5965, 2618, 12172, 744
2023-03-06 12:29:47,627, 2590, 1348, 3563, 6960, 7508, 5965, 2617, 12169, 745
2023-03-06 12:29:48,626, 2593, 1347, 3561, 6956, 7511, 5966, 2618, 12168, 744
2023-03-06 12:29:49,626, 2583, 1348, 3560, 6958, 7500, 5962, 2616, 12143, 743
2023-03-06 12:29:50,626, 2593, 1346, 3560, 6957, 7508, 5962, 2619, 12160, 744
2023-03-06 12:29:51,627, 2598, 1350, 3562, 6960, 7513, 5968, 2620, 12172, 745
2023-03-06 12:29:52,628, 2601, 1350, 3563, 6956, 7506, 5959, 2617, 12176, 745
2023-03-06 12:29:53,627, 2603, 1350, 3563, 6963, 7509, 5967, 2619, 12170, 744
2023-03-06 12:29:54,626, 2594, 1349, 3563, 6960, 7510, 5966, 2619, 12146, 744
2023-03-06 12:29:55,626, 2593, 1348, 3564, 6962, 7504, 5960, 2618, 12156, 744
2023-03-06 12:29:56,627, 2602, 1350, 3564, 6959, 7509, 5960, 2619, 12159, 744
2023-03-06 12:29:57,625, 2593, 1348, 3561, 6960, 7506, 5965, 2617, 12166, 744
2023-03-06 12:29:58,627, 2604, 1351, 3564, 6963, 7512, 5970, 2619, 12177, 744
2023-03-06 12:29:59,627, 2596, 1349, 3568, 6948, 7513, 5973, 2613, 12191, 744
2023-03-06 12:30:00,627, 2585, 1346, 3562, 6947, 7512, 5971, 2613, 12183, 743
2023-03-06 12:30:01,627, 2605, 1348, 3566, 6965, 7513, 5966, 2620, 12175, 744
2023-03-06 12:30:02,628, 2607, 1353, 3567, 6967, 7515, 5969, 2620, 12171, 744
2023-03-06 12:30:03,627, 2599, 1350, 3566, 6965, 7512, 5965, 2620, 12184, 745
2023-03-06 12:30:04,627, 2603, 1350, 3566, 6965, 7512, 5968, 2620, 12196, 745
2023-03-06 12:30:05,628, 2602, 1351, 3567, 6964, 7508, 5966, 2621, 12185, 745
2023-03-06 12:30:06,628, 2601, 1354, 3567, 6969, 7520, 5966, 2621, 12181, 745
2023-03-06 12:30:07,628, 2598, 1353, 3568, 6964, 7518, 5967, 2621, 12188, 745
2023-03-06 12:30:08,627, 2596, 1353, 3565, 6963, 7512, 5966, 2619, 12189, 746
2023-03-06 12:30:09,628, 2596, 1352, 3565, 6960, 7511, 5961, 2617, 12192, 746
2023-03-06 12:30:10,627, 2594, 1349, 3561, 6960, 7507, 5961, 2618, 12177, 746
2023-03-06 12:30:11,627, 2594, 1351, 3563, 6966, 7514, 5961, 2620, 12191, 746
2023-03-06 12:30:12,628, 2594, 1350, 3564, 6965, 7518, 5968, 2620, 12187, 746
2023-03-06 12:30:13,627, 2595, 1350, 3565, 6960, 7520, 5962, 2621, 12194, 746
2023-03-06 12:30:14,628, 2593, 1352, 3562, 6963, 7510, 5965, 2619, 12194, 746
2023-03-06 12:30:15,627, 2588, 1351, 3563, 6965, 7518, 5966, 2622, 12187, 746
2023-03-06 12:30:16,628, 2595, 1354, 3562, 6962, 7517, 5962, 2622, 12198, 746
2023-03-06 12:30:17,628, 2594, 1349, 3563, 6962, 7517, 5964, 2620, 12195, 746
2023-03-06 12:30:18,628, 2597, 1351, 3565, 6956, 7518, 5964, 2619, 12179, 746
2023-03-06 12:30:19,628, 2595, 1350, 3563, 6967, 7523, 5970, 2622, 12179, 746
2023-03-06 12:30:20,628, 2598, 1352, 3567, 6964, 7522, 5967, 2620, 12183, 747
2023-03-06 12:30:21,628, 2598, 1353, 3563, 6966, 7519, 5967, 2622, 12181, 747
2023-03-06 12:30:22,627, 2599, 1352, 3563, 6968, 7521, 5969, 2621, 12193, 748
2023-03-06 12:30:23,628, 2596, 1351, 3564, 6966, 7515, 5964, 2622, 12181, 747
2023-03-06 12:30:24,628, 2594, 1352, 3565, 6971, 7521, 5965, 2623, 12188, 747
2023-03-06 12:30:26,628, 2598, 1351, 3566, 6967, 7521, 5966, 2622, 12190, 747
2023-03-06 12:30:27,628, 2601, 1352, 3565, 6967, 7519, 5966, 2622, 12188, 748
2023-03-06 12:30:28,628, 2599, 1351, 3564, 6969, 7514, 5964, 2623, 12193, 748
2023-03-06 12:30:29,628, 2598, 1352, 3565, 6964, 7523, 5964, 2622, 12187, 748
2023-03-06 12:30:30,628, 2600, 1353, 3564, 6968, 7520, 5967, 2622, 12188, 748
2023-03-06 12:30:31,628, 2597, 1353, 3564, 6968, 7523, 5967, 2623, 12194, 748
2023-03-06 12:30:32,628, 2599, 1351, 3568, 6973, 7530, 5968, 2626, 12200, 748
2023-03-06 12:30:33,628, 2601, 1353, 3568, 6972, 7525, 5969, 2626, 12190, 749
2023-03-06 12:30:34,628, 2596, 1352, 3568, 6971, 7526, 5970, 2626, 12198, 749
