time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-30 23:35:44,3429, 16166, 4815, 9996, 11886, 9901, 7008, 3003, 37366, 1274
2023-03-30 23:35:45,3488, 16274, 4916, 10020, 11840, 9845, 7005, 3000, 37190, 1264
2023-03-30 23:35:46,3413, 15993, 4854, 9836, 11885, 9850, 7034, 3020, 37067, 1262
2023-03-30 23:35:47,3493, 16284, 4881, 10003, 11908, 9907, 7043, 3024, 37061, 1271
2023-03-30 23:35:48,3515, 16224, 5006, 9901, 11947, 9928, 7074, 3048, 37721, 1251
2023-03-30 23:35:49,3498, 16273, 4914, 9998, 10976, 9108, 6518, 2803, 35057, 1194
2023-03-30 23:35:50,3984, 18332, 5647, 11265, 12654, 10526, 7520, 3214, 40366, 1369
2023-03-30 23:35:51,3774, 17450, 5329, 10712, 12829, 10699, 7644, 3241, 41047, 1388
2023-03-30 23:35:52,3806, 17463, 5348, 10747, 12996, 10809, 7732, 3274, 41242, 1396
2023-03-30 23:35:53,3885, 17861, 5455, 10984, 13077, 10898, 7777, 3303, 41613, 1411
2023-03-30 23:35:54,3914, 17906, 5480, 11045, 12975, 10780, 7723, 3267, 41228, 1397
2023-03-30 23:35:55,3941, 18074, 5530, 11122, 13225, 11005, 7870, 3337, 41970, 1423
2023-03-30 23:35:56,3968, 18207, 5575, 11206, 13333, 11098, 7938, 3363, 42368, 1439
2023-03-30 23:35:57,3980, 18205, 5544, 11113, 13335, 11100, 7931, 3353, 42385, 1439
2023-03-30 23:35:58,3992, 18309, 5610, 11213, 13410, 10956, 7973, 3378, 42549, 1445
2023-03-30 23:35:59,3998, 18100, 5527, 11275, 13483, 11188, 8026, 3393, 42198, 1440
2023-03-30 23:36:00,4025, 18393, 5671, 11366, 13527, 11250, 8039, 3414, 42691, 1453
2023-03-30 23:36:01,3997, 18330, 5607, 11279, 13294, 11041, 7910, 3344, 42822, 1459
2023-03-30 23:36:02,4047, 18643, 5693, 11439, 13488, 11271, 8065, 3415, 42948, 1465
2023-03-30 23:36:03,4051, 18575, 5700, 11412, 13464, 11200, 8028, 3402, 42574, 1452
2023-03-30 23:36:04,3950, 18292, 5615, 11247, 13477, 11230, 8025, 3402, 42468, 1451
2023-03-30 23:36:05,4048, 18655, 5710, 11414, 13548, 11306, 8050, 3427, 42660, 1458
2023-03-30 23:36:06,4039, 18631, 5702, 11436, 13603, 11296, 8101, 3433, 42825, 1463
2023-03-30 23:36:07,4069, 18722, 5736, 11471, 13648, 11373, 8137, 3450, 43076, 1473
2023-03-30 23:36:08,4090, 18803, 5760, 11481, 13670, 11397, 8142, 3460, 42571, 1474
2023-03-30 23:36:09,4086, 18724, 5745, 11490, 13617, 11366, 8143, 3453, 43193, 1472
2023-03-30 23:36:10,4090, 18799, 5764, 11503, 13766, 11404, 8186, 3473, 43440, 1484
2023-03-30 23:36:11,4106, 18796, 5805, 11562, 13787, 11455, 8218, 3485, 43350, 1479
2023-03-30 23:36:12,4116, 18921, 5811, 11601, 13805, 11502, 8233, 3494, 43702, 1488
2023-03-30 23:36:13,4132, 19001, 5828, 11636, 13855, 11524, 8227, 3507, 43689, 1493
2023-03-30 23:36:14,4140, 19046, 5845, 11671, 13846, 11536, 8257, 3504, 43677, 1494
2023-03-30 23:36:15,4147, 19044, 5842, 11685, 13861, 11547, 8249, 3505, 43797, 1496
2023-03-30 23:36:16,4154, 19051, 5841, 11636, 13877, 11544, 8254, 3516, 43937, 1500
2023-03-30 23:36:17,4155, 19052, 5866, 11623, 13900, 11535, 8265, 3517, 43995, 1502
2023-03-30 23:36:18,4157, 19030, 5877, 11668, 13942, 11551, 8292, 3516, 44032, 1505
2023-03-30 23:36:19,4168, 19060, 5882, 11715, 13950, 11554, 8315, 3509, 43982, 1506
2023-03-30 23:36:20,4168, 19089, 5875, 11724, 13960, 11577, 8326, 3512, 43861, 1507
2023-03-30 23:36:21,4182, 19156, 5883, 11750, 13986, 11623, 8346, 3526, 43882, 1510
2023-03-30 23:36:22,4190, 19168, 5889, 11765, 13996, 11635, 8350, 3534, 43391, 1495
2023-03-30 23:36:23,4122, 19172, 5847, 11787, 13886, 11531, 8351, 3484, 43636, 1473
2023-03-30 23:36:24,4199, 18713, 5862, 11684, 13983, 11526, 8313, 3505, 42858, 1494
2023-03-30 23:36:25,4169, 19215, 5918, 11779, 14027, 11681, 8328, 3552, 43198, 1507
2023-03-30 23:36:26,4215, 19224, 5936, 11836, 14026, 11696, 8379, 3558, 44182, 1508
2023-03-30 23:36:27,4223, 19244, 5942, 11842, 14032, 11710, 8386, 3562, 44176, 1509
2023-03-30 23:36:28,4225, 19240, 5929, 11839, 14027, 11705, 8359, 3564, 44194, 1509
2023-03-30 23:36:29,4233, 19275, 5942, 11853, 14043, 11714, 8386, 3565, 44253, 1508
2023-03-30 23:36:31,4235, 19297, 5949, 11856, 14059, 11724, 8401, 3571, 44344, 1508
2023-03-30 23:36:32,4251, 19353, 5961, 11877, 14073, 11748, 8410, 3580, 44426, 1514
2023-03-30 23:36:33,4262, 19406, 5976, 11906, 14079, 11753, 8420, 3583, 44494, 1516
2023-03-30 23:36:34,4264, 19405, 5984, 11908, 14093, 11763, 8421, 3584, 44534, 1519
2023-03-30 23:36:35,4326, 19748, 6085, 12093, 14145, 11791, 8448, 3592, 44629, 1521
2023-03-30 23:36:36,4270, 19382, 5992, 11893, 14149, 11797, 8450, 3594, 44599, 1522
2023-03-30 23:36:37,4293, 19483, 6026, 11933, 14155, 11807, 8440, 3593, 44728, 1526
2023-03-30 23:36:38,4299, 19470, 6036, 11907, 14173, 11811, 8439, 3595, 44666, 1527
2023-03-30 23:36:39,4298, 19454, 6038, 11871, 14153, 11792, 8435, 3594, 44612, 1518
2023-03-30 23:36:40,4305, 19559, 6032, 11909, 14118, 11751, 8429, 3596, 44580, 1521
2023-03-30 23:36:41,4293, 19422, 6031, 11856, 14104, 11691, 8404, 3588, 44483, 1520
2023-03-30 23:36:42,4287, 19444, 6021, 11827, 14135, 11692, 8425, 3594, 44531, 1523
2023-03-30 23:36:43,4294, 19529, 6035, 11904, 14192, 11751, 8457, 3614, 44684, 1527
2023-03-30 23:36:44,4293, 19604, 6047, 11956, 14208, 11797, 8476, 3623, 44662, 1528
2023-03-30 23:36:45,4292, 19624, 6051, 11988, 14218, 11832, 8487, 3623, 44699, 1529
2023-03-30 23:36:46,4294, 19613, 6047, 12003, 14245, 11857, 8504, 3622, 44720, 1529
2023-03-30 23:36:47,4296, 19586, 6042, 12013, 14267, 11854, 8520, 3621, 44741, 1529
2023-03-30 23:36:48,4295, 19585, 6045, 11976, 14300, 11867, 8539, 3623, 44806, 1530
2023-03-30 23:36:49,4297, 19512, 6047, 12005, 14298, 11869, 8547, 3622, 44782, 1530
2023-03-30 23:36:50,4300, 19555, 6050, 12023, 14292, 11852, 8539, 3612, 44753, 1531
2023-03-30 23:36:51,4301, 19615, 6039, 12020, 14282, 11823, 8528, 3615, 44560, 1532
2023-03-30 23:36:52,4269, 19608, 6054, 12028, 14308, 11848, 8555, 3625, 44839, 1537
2023-03-30 23:36:53,4567, 20649, 6365, 12648, 14779, 12225, 8828, 3744, 46211, 1576
2023-03-30 23:36:54,4490, 20195, 6245, 12382, 14710, 12178, 8786, 3727, 46341, 1579
2023-03-30 23:36:55,4492, 20172, 6250, 12358, 14696, 12200, 8777, 3722, 46114, 1579
2023-03-30 23:36:56,4505, 20145, 6251, 12359, 14698, 12220, 8720, 3721, 46602, 1581
2023-03-30 23:36:57,4526, 20129, 6259, 12358, 14657, 12199, 8729, 3723, 46721, 1585
2023-03-30 23:36:58,4522, 20074, 6257, 12351, 14638, 12220, 8789, 3722, 46652, 1582
2023-03-30 23:36:59,4538, 20057, 6247, 12338, 14674, 12232, 8785, 3725, 46663, 1578
2023-03-30 23:37:00,4543, 20026, 6255, 12329, 14672, 12222, 8787, 3726, 45572, 1593
2023-03-30 23:37:01,4530, 20058, 6249, 12310, 14688, 12225, 8793, 3727, 46649, 1593
2023-03-30 23:37:02,4516, 20099, 6254, 12352, 14682, 12197, 8786, 3727, 46544, 1592
2023-03-30 23:37:03,4512, 20129, 6264, 12300, 14701, 12227, 8792, 3729, 46488, 1593
2023-03-30 23:37:04,4506, 19980, 6264, 12380, 14732, 12224, 8798, 3724, 46617, 1594
2023-03-30 23:37:05,4520, 20199, 6259, 12407, 14712, 12202, 8811, 3734, 46625, 1595
2023-03-30 23:37:06,4532, 20203, 6266, 12426, 14741, 12293, 8819, 3743, 46705, 1596
2023-03-30 23:37:07,4535, 20212, 6281, 12452, 14746, 12303, 8840, 3749, 46697, 1598
2023-03-30 23:37:08,4542, 20343, 6280, 12451, 14796, 12298, 8829, 3763, 46577, 1597
2023-03-30 23:37:09,4528, 20344, 6293, 12478, 14809, 12320, 8857, 3769, 46743, 1595
2023-03-30 23:37:10,4547, 20377, 6298, 12472, 14814, 12340, 8858, 3774, 46633, 1597
2023-03-30 23:37:11,4544, 20363, 6316, 12466, 14823, 12302, 8855, 3779, 46659, 1598
2023-03-30 23:37:12,4558, 20409, 6320, 12448, 14842, 12324, 8843, 3774, 46713, 1597
2023-03-30 23:37:13,4556, 20307, 6326, 12440, 14815, 12346, 8847, 3767, 46720, 1595
2023-03-30 23:37:14,4554, 20369, 6314, 12476, 14825, 12329, 8861, 3772, 46627, 1595
2023-03-30 23:37:15,4542, 20334, 6309, 12478, 14826, 12330, 8827, 3774, 46427, 1598
2023-03-30 23:37:16,4558, 20328, 6324, 12474, 14731, 12332, 8851, 3776, 46706, 1598
2023-03-30 23:37:17,4558, 20344, 6318, 12471, 14847, 12342, 8858, 3778, 46722, 1600
2023-03-30 23:37:18,4557, 20360, 6302, 12480, 14833, 12343, 8852, 3777, 46780, 1600
2023-03-30 23:37:19,4559, 20358, 6328, 12482, 14840, 12340, 8854, 3777, 46781, 1600
2023-03-30 23:37:20,4570, 20373, 6323, 12459, 14836, 12332, 8853, 3779, 46789, 1603
2023-03-30 23:37:21,4571, 20362, 6339, 12446, 14847, 12351, 8832, 3782, 46801, 1603
2023-03-30 23:37:22,4569, 20374, 6342, 12449, 14831, 12337, 8843, 3784, 46758, 1602
2023-03-30 23:37:23,4565, 20388, 6332, 12466, 14823, 12356, 8852, 3782, 46736, 1598
2023-03-30 23:37:24,4566, 20408, 6327, 12471, 14827, 12339, 8859, 3782, 46768, 1598
2023-03-30 23:37:25,4564, 20374, 6335, 12445, 14807, 12344, 8856, 3783, 46690, 1601
2023-03-30 23:37:26,4570, 20395, 6329, 12457, 14877, 12319, 8856, 3785, 46768, 1601
2023-03-30 23:37:27,4568, 20422, 6345, 12479, 14874, 12329, 8856, 3778, 46661, 1600
2023-03-30 23:37:28,4566, 20420, 6338, 12508, 14869, 12352, 8865, 3777, 46650, 1600
2023-03-30 23:37:29,4566, 20429, 6324, 12505, 14880, 12374, 8889, 3782, 46757, 1603
2023-03-30 23:37:30,4572, 20444, 6327, 12519, 14850, 12373, 8890, 3786, 46850, 1604
2023-03-30 23:37:32,4575, 20438, 6333, 12521, 14820, 12370, 8888, 3788, 46806, 1603
2023-03-30 23:37:33,4575, 20440, 6343, 12520, 14832, 12367, 8881, 3787, 46783, 1604
2023-03-30 23:37:34,4571, 20422, 6341, 12505, 14850, 12354, 8871, 3786, 46784, 1604
2023-03-30 23:37:35,4572, 20388, 6345, 12488, 14870, 12373, 8878, 3786, 46742, 1600
2023-03-30 23:37:36,4574, 20371, 6344, 12508, 14893, 12362, 8890, 3787, 46858, 1599
2023-03-30 23:37:37,4569, 20463, 6330, 12487, 14816, 12360, 8866, 3795, 46914, 1605
2023-03-30 23:37:38,4569, 20427, 6355, 12512, 14888, 12380, 8871, 3799, 46876, 1606
2023-03-30 23:37:39,4509, 20484, 6353, 12462, 14920, 12359, 8906, 3801, 46918, 1606
2023-03-30 23:37:40,4580, 20491, 6313, 12529, 14808, 12389, 8907, 3799, 46852, 1607
2023-03-30 23:37:41,4579, 20437, 6360, 12461, 14908, 12397, 8906, 3793, 46897, 1607
2023-03-30 23:37:42,4575, 20437, 6352, 12509, 14895, 12383, 8898, 3791, 46902, 1607
2023-03-30 23:37:43,4576, 20419, 6347, 12512, 14880, 12368, 8889, 3789, 46918, 1607
2023-03-30 23:37:44,4568, 20406, 6354, 12497, 14872, 12357, 8892, 3789, 46973, 1609
2023-03-30 23:37:45,4576, 20423, 6349, 12503, 14896, 12364, 8886, 3788, 47019, 1609
2023-03-30 23:37:46,4585, 20422, 6356, 12508, 14909, 12379, 8899, 3790, 46989, 1610
2023-03-30 23:37:47,4584, 20428, 6366, 12520, 14905, 12391, 8894, 3791, 46950, 1609
2023-03-30 23:37:48,4587, 20474, 6359, 12536, 14895, 12362, 8899, 3794, 46951, 1608
2023-03-30 23:37:49,4579, 20479, 6370, 12548, 14915, 12401, 8902, 3789, 46902, 1608
2023-03-30 23:37:50,4586, 20375, 6369, 12534, 14904, 12390, 8849, 3798, 46975, 1608
2023-03-30 23:37:51,4593, 20483, 6377, 12503, 14919, 12416, 8895, 3802, 47003, 1608
2023-03-30 23:37:52,4596, 20487, 6379, 12545, 14923, 12429, 8903, 3802, 46836, 1609
2023-03-30 23:37:53,4597, 20471, 6378, 12543, 14916, 12435, 8911, 3799, 47065, 1612
2023-03-30 23:37:54,4597, 20441, 6374, 12547, 14926, 12431, 8892, 3799, 47080, 1612
2023-03-30 23:37:55,4594, 20507, 6375, 12521, 14872, 12436, 8866, 3811, 47048, 1614
2023-03-30 23:37:56,4595, 20556, 6385, 12532, 14894, 12451, 8845, 3817, 47053, 1614
2023-03-30 23:37:57,4599, 20558, 6352, 12572, 14919, 12462, 8884, 3818, 47097, 1613
2023-03-30 23:37:58,4581, 20560, 6393, 12597, 14955, 12461, 8938, 3818, 46762, 1611
2023-03-30 23:37:59,4605, 20573, 6395, 12594, 14993, 12469, 8957, 3822, 46808, 1605
2023-03-30 23:38:00,4602, 20576, 6388, 12604, 14963, 12454, 8951, 3817, 45129, 1598
2023-03-30 23:38:01,4609, 20538, 6393, 12577, 14997, 12454, 8947, 3810, 47057, 1563
2023-03-30 23:38:02,4596, 20470, 6403, 12584, 14983, 12451, 8944, 3818, 47268, 1586
2023-03-30 23:38:03,4612, 20556, 6406, 12545, 14984, 12453, 8948, 3818, 46858, 1614
2023-03-30 23:38:04,4615, 20557, 6405, 12578, 14980, 12477, 8887, 3818, 46950, 1613
2023-03-30 23:38:05,4610, 20524, 6399, 12389, 14841, 12472, 8918, 3821, 47071, 1612
2023-03-30 23:38:06,4597, 20224, 6374, 12602, 14910, 12469, 8935, 3783, 47079, 1614
2023-03-30 23:38:07,4559, 20578, 6298, 12596, 14980, 12424, 8942, 3821, 47176, 1613
2023-03-30 23:38:08,4522, 20578, 6397, 12615, 14970, 12469, 8950, 3821, 47123, 1612
2023-03-30 23:38:09,4604, 20578, 6390, 12604, 14964, 12466, 8929, 3818, 47100, 1612
2023-03-30 23:38:10,4608, 20561, 6390, 12589, 14965, 12465, 8935, 3818, 47176, 1605
2023-03-30 23:38:11,4591, 20576, 6395, 12588, 14949, 12461, 8947, 3819, 46826, 1609
2023-03-30 23:38:12,4616, 20552, 6377, 12588, 14885, 12465, 8874, 3816, 46700, 1615
2023-03-30 23:38:13,4611, 20504, 6404, 12580, 14995, 12468, 8863, 3814, 46936, 1614
2023-03-30 23:38:14,4592, 20475, 6396, 12555, 14967, 12453, 8964, 3804, 47040, 1613
2023-03-30 23:38:15,4602, 20421, 6385, 12599, 14939, 12452, 8942, 3798, 47048, 1614
2023-03-30 23:38:16,4607, 20410, 6401, 12571, 14967, 12448, 8933, 3806, 47050, 1615
2023-03-30 23:38:17,4602, 20506, 6400, 12550, 14956, 12439, 8942, 3815, 47114, 1616
2023-03-30 23:38:18,4610, 20495, 6405, 12602, 14973, 12480, 8952, 3820, 47176, 1618
2023-03-30 23:38:19,4617, 20564, 6409, 12610, 14995, 12452, 8963, 3824, 47224, 1619
2023-03-30 23:38:20,4620, 20607, 6401, 12613, 14989, 12486, 8971, 3826, 47242, 1621
2023-03-30 23:38:21,4611, 20612, 6408, 12616, 14989, 12489, 8969, 3828, 47280, 1624
2023-03-30 23:38:22,4607, 20623, 6413, 12598, 15017, 12492, 8976, 3832, 47139, 1622
2023-03-30 23:38:23,4609, 20605, 6414, 12594, 15028, 12497, 8921, 3832, 47075, 1615
2023-03-30 23:38:24,4612, 20611, 6421, 12613, 14986, 12501, 8864, 3831, 47200, 1610
2023-03-30 23:38:25,4619, 20646, 6425, 12622, 14852, 12497, 8960, 3831, 46499, 1616
2023-03-30 23:38:26,4613, 20526, 6418, 12629, 14996, 12495, 8967, 3822, 46564, 1620
