time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-30 22:42:11,4209, 18264, 5875, 11194, 13521, 11246, 8051, 3515, 42369, 1448
2023-03-30 22:42:12,4304, 18992, 5716, 11648, 13927, 11587, 8207, 3532, 43320, 1479
2023-03-30 22:42:13,4292, 18815, 5766, 11523, 13809, 11530, 8175, 3534, 43228, 1469
2023-03-30 22:42:14,4289, 18685, 5794, 11464, 13722, 11513, 8153, 3532, 43165, 1462
2023-03-30 22:42:15,4292, 18620, 5817, 11413, 13680, 11486, 8125, 3537, 43065, 1460
2023-03-30 22:42:16,4294, 18538, 5832, 11379, 13667, 11463, 8102, 3536, 42837, 1460
2023-03-30 22:42:17,4294, 18512, 5845, 11362, 13659, 11452, 8104, 3533, 42728, 1462
2023-03-30 22:42:18,4296, 18479, 5857, 11345, 13665, 11446, 8105, 3536, 42696, 1465
2023-03-30 22:42:19,4293, 18460, 5870, 11354, 13657, 11434, 8106, 3540, 42793, 1467
2023-03-30 22:42:20,4291, 18478, 5878, 11336, 13657, 11431, 8105, 3540, 42887, 1467
2023-03-30 22:42:21,4287, 18502, 5891, 11333, 13669, 11429, 8108, 3545, 42921, 1467
2023-03-30 22:42:22,4287, 18520, 5903, 11337, 13669, 11430, 8104, 3550, 43007, 1468
2023-03-30 22:42:23,4282, 18510, 5904, 11331, 13663, 11426, 8102, 3549, 42985, 1466
2023-03-30 22:42:24,4279, 18515, 5903, 11337, 13659, 11426, 8104, 3551, 42997, 1466
2023-03-30 22:42:25,4276, 18510, 5905, 11326, 13656, 11427, 8107, 3550, 43002, 1467
2023-03-30 22:42:26,4270, 18506, 5906, 11321, 13663, 11424, 8111, 3553, 42962, 1467
2023-03-30 22:42:27,4264, 18501, 5904, 11319, 13656, 11418, 8110, 3552, 42915, 1465
2023-03-30 22:42:28,4257, 18498, 5909, 11323, 13655, 11416, 8112, 3555, 42926, 1465
2023-03-30 22:42:29,4256, 18489, 5914, 11323, 13650, 11410, 8110, 3554, 42927, 1465
2023-03-30 22:42:30,4259, 18486, 5913, 11322, 13648, 11409, 8110, 3554, 42928, 1464
2023-03-30 22:42:31,4261, 18499, 5914, 11323, 13643, 11409, 8108, 3554, 42908, 1464
2023-03-30 22:42:32,4261, 18499, 5913, 11323, 13633, 11414, 8101, 3551, 42891, 1463
2023-03-30 22:42:33,4261, 18488, 5912, 11322, 13639, 11409, 8107, 3554, 42930, 1464
2023-03-30 22:42:34,4262, 18507, 5917, 11323, 13635, 11410, 8110, 3554, 42952, 1464
2023-03-30 22:42:35,4259, 18504, 5918, 11321, 13634, 11405, 8106, 3553, 42931, 1464
2023-03-30 22:42:36,4257, 18494, 5919, 11324, 13641, 11409, 8114, 3553, 42951, 1464
2023-03-30 22:42:37,4258, 18502, 5927, 11328, 13642, 11418, 8121, 3556, 42964, 1465
2023-03-30 22:42:39,4260, 18513, 5933, 11334, 13659, 11418, 8124, 3558, 42985, 1466
2023-03-30 22:42:40,4261, 18518, 5931, 11331, 13663, 11414, 8123, 3559, 43036, 1466
2023-03-30 22:42:41,4262, 18514, 5937, 11333, 13668, 11417, 8129, 3562, 43028, 1467
