time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-04-21 03:15:08,823, 6162, 2288, 4467, 5296, 4059, 3138, 1361, 16371, 560
2023-04-21 03:15:09,813, 6111, 2249, 4456, 5272, 4035, 3136, 1364, 16186, 556
2023-04-21 03:15:10,814, 6104, 2252, 4445, 5261, 4030, 3132, 1363, 16180, 556
2023-04-21 03:15:11,814, 6099, 2252, 4441, 5260, 4028, 3131, 1363, 16168, 556
2023-04-21 03:15:12,814, 6090, 2254, 4438, 5256, 4026, 3130, 1364, 16144, 556
2023-04-21 03:15:14,813, 6094, 2253, 4433, 5256, 4020, 3129, 1364, 16135, 557
2023-04-21 03:15:15,813, 6093, 2254, 4431, 5255, 4017, 3128, 1364, 16131, 557
2023-04-21 03:15:16,813, 6092, 2254, 4431, 5252, 4017, 3126, 1362, 16143, 557
2023-04-21 03:15:17,813, 6089, 2253, 4433, 5252, 4017, 3125, 1361, 16154, 556
2023-04-21 03:15:18,813, 6089, 2250, 4430, 5254, 4019, 3125, 1361, 16150, 556
2023-04-21 03:15:19,813, 6088, 2248, 4426, 5255, 4020, 3126, 1363, 16156, 556
2023-04-21 03:15:21,813, 6089, 2246, 4425, 5255, 4019, 3127, 1362, 16147, 556
2023-04-21 03:15:22,813, 6090, 2246, 4423, 5254, 4018, 3127, 1362, 16067, 556
2023-04-21 03:15:23,812, 6087, 2246, 4424, 5253, 4017, 3127, 1363, 16149, 556
2023-04-21 03:15:24,812, 6087, 2247, 4428, 5253, 4019, 3128, 1363, 16138, 556
