time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 11:34:42,3004, 12094, 6477, 15267, 30186, 32597, 26232, 12424, 65535, 4966
2023-01-31 11:34:43,3112, 12565, 6713, 15917, 31400, 33904, 27282, 12897, 65535, 5161
2023-01-31 11:34:43,3106, 12564, 6709, 15887, 31360, 33847, 27239, 12878, 65535, 5153
2023-01-31 11:34:44,3116, 12644, 6736, 15938, 31573, 33975, 27420, 12921, 65535, 5190
2023-01-31 11:34:45,3090, 12503, 6659, 15743, 31197, 33655, 27373, 12834, 65535, 5078
2023-01-31 11:34:45,3094, 12505, 6651, 15725, 31463, 33934, 27450, 12900, 65535, 5107
2023-01-31 11:34:46,3072, 12374, 6640, 15683, 30670, 32964, 26887, 12580, 65535, 5052
2023-01-31 11:34:46,3082, 12222, 6590, 15417, 30576, 33089, 27016, 12553, 65535, 4969
2023-01-31 11:34:47,3138, 12345, 6613, 15710, 30947, 33778, 27340, 12783, 65535, 4984
2023-01-31 11:34:48,3133, 12273, 6578, 15698, 31028, 33997, 27279, 12857, 65535, 5093
2023-01-31 11:34:48,3064, 12038, 6472, 15515, 30639, 34114, 27242, 12756, 65535, 4946
2023-01-31 11:34:49,3128, 12427, 6595, 15942, 30096, 33132, 27224, 12432, 65535, 4968
2023-01-31 11:34:50,3076, 12140, 6390, 15570, 30057, 33168, 26868, 12459, 65535, 4860
2023-01-31 11:34:50,3102, 12390, 6573, 15901, 30379, 33424, 27012, 12557, 65535, 5018
2023-01-31 11:34:51,3084, 12349, 6502, 15845, 29843, 33079, 26673, 12359, 65535, 4940
2023-01-31 11:34:51,3078, 12186, 6452, 15585, 30708, 33917, 27346, 12726, 65535, 5110
2023-01-31 11:34:52,3067, 12160, 6449, 15667, 30139, 33411, 26800, 12552, 65535, 4961
2023-01-31 11:34:53,3059, 12164, 6446, 15608, 30067, 33263, 26812, 12524, 65535, 5015
2023-01-31 11:34:53,3076, 12248, 6484, 15704, 30531, 33935, 27143, 12735, 65535, 5017
2023-01-31 11:34:54,3043, 12119, 6396, 15509, 29952, 33433, 26636, 12560, 65535, 4826
2023-01-31 11:34:55,3049, 12092, 6410, 15487, 30145, 33498, 26853, 12613, 65535, 4974
2023-01-31 11:34:55,3082, 12371, 6506, 15827, 30360, 33703, 26992, 12644, 65535, 5001
2023-01-31 11:34:56,3084, 12318, 6509, 15790, 30040, 33357, 26745, 12554, 65535, 4962
2023-01-31 11:34:56,3069, 12230, 6462, 15660, 30172, 33472, 26848, 12585, 65535, 4968
2023-01-31 11:34:57,3069, 12263, 6466, 15706, 29963, 33237, 26657, 12516, 65535, 4960
2023-01-31 11:34:58,3073, 12259, 6480, 15705, 29928, 33163, 26620, 12491, 65535, 4953
2023-01-31 11:34:58,3078, 12348, 6489, 15768, 30041, 33327, 26712, 12546, 65535, 4968
2023-01-31 11:34:59,3071, 12281, 6476, 15706, 30176, 33499, 26841, 12605, 65535, 4991
2023-01-31 11:35:00,3083, 12286, 6510, 15783, 30363, 33751, 27018, 12682, 65535, 5025
2023-01-31 11:35:00,3089, 12326, 6527, 15810, 30317, 33689, 26972, 12657, 65535, 5016
2023-01-31 11:35:01,3078, 12309, 6511, 15783, 30207, 33528, 26859, 12585, 65535, 4984
2023-01-31 11:35:01,3100, 12344, 6553, 15859, 30754, 34054, 27443, 12761, 65535, 5003
2023-01-31 11:35:02,3044, 12091, 6397, 15597, 30538, 33668, 27396, 12714, 65535, 5165
2023-01-31 11:35:03,3074, 12183, 6439, 15671, 29991, 33278, 26748, 12384, 65535, 4891
2023-01-31 11:35:03,3066, 12116, 6376, 15590, 30801, 34112, 27344, 12828, 65535, 5112
2023-01-31 11:35:04,3089, 12318, 6543, 15853, 30291, 33498, 26896, 12643, 65535, 5018
2023-01-31 11:35:05,3073, 12285, 6515, 15803, 30358, 33631, 26969, 12677, 65535, 5014
