time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-01-31 11:10:41,3014, 12196, 6463, 15377, 30369, 32771, 26420, 12450, 65535, 5008
2023-01-31 11:10:42,3006, 12125, 6451, 15325, 30315, 32716, 26364, 12433, 65535, 5002
2023-01-31 11:10:43,3004, 12107, 6456, 15320, 30334, 32737, 26387, 12444, 65535, 5002
2023-01-31 11:10:43,3008, 12164, 6460, 15329, 30311, 32703, 26370, 12435, 65535, 5006
2023-01-31 11:10:44,3005, 12143, 6448, 15315, 30286, 32701, 26341, 12433, 65535, 5000
2023-01-31 11:10:45,3005, 12133, 6447, 15301, 30308, 32727, 26345, 12442, 65535, 5005
2023-01-31 11:10:45,3002, 12131, 6450, 15314, 30291, 32718, 26321, 12427, 65535, 4999
2023-01-31 11:10:46,3003, 12059, 6448, 15287, 30300, 32658, 26332, 12420, 65535, 4998
2023-01-31 11:10:46,3001, 12086, 6446, 15295, 30323, 32730, 26362, 12441, 65535, 4999
2023-01-31 11:10:47,2991, 12168, 6433, 15313, 30272, 32681, 26317, 12423, 65535, 4995
2023-01-31 11:10:48,3004, 12167, 6443, 15322, 30382, 32739, 26447, 12463, 65535, 5024
2023-01-31 11:10:48,3004, 12141, 6447, 15286, 30295, 32679, 26329, 12424, 65535, 4998
2023-01-31 11:10:49,3002, 12180, 6450, 15318, 30264, 32663, 26317, 12431, 65535, 4991
2023-01-31 11:10:50,2997, 12072, 6438, 15279, 30270, 32693, 26322, 12423, 65535, 4988
2023-01-31 11:10:50,2992, 12108, 6430, 15268, 30198, 32571, 26249, 12396, 65535, 4985
2023-01-31 11:10:51,3001, 12146, 6440, 15290, 30248, 32623, 26291, 12415, 65535, 4997
2023-01-31 11:10:51,2998, 12157, 6440, 15303, 30229, 32591, 26280, 12404, 65535, 5000
2023-01-31 11:10:52,3004, 12219, 6460, 15383, 30255, 32684, 26296, 12434, 65535, 4994
2023-01-31 11:10:53,2986, 12093, 6423, 15242, 30281, 32718, 26308, 12439, 65535, 4993
2023-01-31 11:10:53,2991, 12115, 6428, 15287, 30263, 32687, 26301, 12430, 65535, 4992
2023-01-31 11:10:54,2990, 12128, 6429, 15277, 30233, 32647, 26280, 12418, 65535, 4989
2023-01-31 11:10:55,2991, 12123, 6433, 15278, 30254, 32640, 26311, 12421, 65535, 4989
2023-01-31 11:10:55,2993, 12099, 6436, 15280, 30238, 32622, 26300, 12413, 65535, 4985
2023-01-31 11:10:56,2990, 12073, 6429, 15268, 30231, 32615, 26285, 12407, 65535, 4986
2023-01-31 11:10:56,2993, 12075, 6428, 15290, 30257, 32663, 26307, 12419, 65535, 4989
2023-01-31 11:10:57,2995, 12086, 6433, 15276, 30222, 32635, 26269, 12414, 65535, 4987
2023-01-31 11:10:58,2999, 12099, 6437, 15275, 30230, 32648, 26276, 12417, 65535, 4987
2023-01-31 11:10:58,2992, 12109, 6436, 15273, 30242, 32662, 26274, 12422, 65535, 4982
2023-01-31 11:10:59,2989, 12091, 6429, 15269, 30218, 32659, 26254, 12422, 65535, 4989
2023-01-31 11:11:00,2988, 12108, 6427, 15271, 30226, 32659, 26264, 12429, 65535, 4988
2023-01-31 11:11:00,2989, 12106, 6431, 15284, 30237, 32651, 26271, 12426, 65535, 4983
2023-01-31 11:11:01,2993, 12133, 6434, 15283, 30238, 32635, 26276, 12425, 65535, 4991
2023-01-31 11:11:01,2992, 12109, 6433, 15253, 30231, 32618, 26288, 12422, 65535, 4990
2023-01-31 11:11:02,2996, 12125, 6441, 15259, 30258, 32635, 26309, 12430, 65535, 4985
2023-01-31 11:11:03,2998, 12165, 6444, 15269, 30259, 32637, 26332, 12430, 65535, 4983
2023-01-31 11:11:03,2996, 12178, 6443, 15273, 30232, 32631, 26296, 12421, 65535, 4978
2023-01-31 11:11:04,2997, 12178, 6448, 15295, 30266, 32671, 26311, 12437, 65535, 4989
2023-01-31 11:11:05,2995, 12150, 6443, 15298, 30222, 32623, 26265, 12418, 65535, 4982
2023-01-31 11:11:05,2989, 12199, 6454, 15281, 30219, 32645, 26264, 12428, 65535, 4981
2023-01-31 11:11:06,2994, 12153, 6443, 15307, 30247, 32661, 26288, 12431, 65535, 4982
2023-01-31 11:11:06,2990, 12098, 6446, 15274, 30226, 32635, 26254, 12422, 65535, 4983
2023-01-31 11:11:07,2988, 12148, 6437, 15273, 30250, 32649, 26272, 12425, 65535, 4983
2023-01-31 11:11:08,2990, 12164, 6442, 15270, 30258, 32659, 26296, 12429, 65535, 4982
2023-01-31 11:11:08,2991, 12154, 6446, 15268, 30241, 32629, 26282, 12422, 65535, 4985
2023-01-31 11:11:09,2993, 12142, 6445, 15270, 30240, 32640, 26285, 12426, 65535, 4986
2023-01-31 11:11:10,2996, 12142, 6454, 15279, 30224, 32638, 26275, 12425, 65535, 4982
