time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-03-30 22:58:04,655, 1354, 324, 360, 4037, 8964, 6660, 2468, 12297, 836
2023-03-30 22:58:05,654, 1335, 323, 357, 4016, 8912, 6643, 2472, 12256, 834
2023-03-30 22:58:06,652, 1324, 322, 356, 3998, 8881, 6626, 2471, 12236, 832
2023-03-30 22:58:07,651, 1316, 322, 355, 3991, 8858, 6621, 2474, 12228, 832
2023-03-30 22:58:08,652, 1314, 321, 354, 3986, 8857, 6623, 2477, 12221, 832
2023-03-30 22:58:09,652, 1313, 321, 354, 3988, 8858, 6625, 2482, 12222, 832
2023-03-30 22:58:10,648, 1310, 321, 354, 3982, 8853, 6618, 2481, 12209, 831
2023-03-30 22:58:11,652, 1308, 321, 353, 3976, 8838, 6610, 2482, 12200, 831
2023-03-30 22:58:12,651, 1306, 321, 354, 3977, 8832, 6615, 2483, 12193, 831
2023-03-30 22:58:13,651, 1305, 321, 353, 3975, 8822, 6603, 2482, 12178, 830
2023-03-30 22:58:14,651, 1301, 321, 351, 3958, 8791, 6580, 2476, 12173, 829
2023-03-30 22:58:15,649, 1294, 320, 351, 3948, 8775, 6590, 2461, 12198, 829
2023-03-30 22:58:16,648, 1289, 319, 351, 3958, 8764, 6596, 2465, 12183, 830
2023-03-30 22:58:17,647, 1296, 320, 351, 3969, 8771, 6590, 2482, 12190, 830
2023-03-30 22:58:18,648, 1299, 320, 352, 3961, 8782, 6600, 2482, 12178, 830
2023-03-30 22:58:19,647, 1293, 320, 352, 3955, 8771, 6594, 2478, 12172, 829
2023-03-30 22:58:20,648, 1293, 320, 351, 3957, 8791, 6585, 2473, 12157, 829
2023-03-30 22:58:21,648, 1295, 321, 352, 3959, 8791, 6595, 2483, 12155, 828
2023-03-30 22:58:22,648, 1293, 320, 352, 3963, 8790, 6600, 2482, 12140, 828
2023-03-30 22:58:23,648, 1292, 320, 352, 3954, 8786, 6593, 2480, 12122, 827
2023-03-30 22:58:24,648, 1292, 320, 351, 3947, 8789, 6578, 2482, 12147, 827
2023-03-30 22:58:25,641, 1293, 320, 351, 3949, 8673, 6573, 2474, 12150, 828
2023-03-30 22:58:26,645, 1288, 318, 351, 3959, 8772, 6590, 2437, 12154, 829
2023-03-30 22:58:27,648, 1282, 320, 350, 3954, 8660, 6587, 2474, 12165, 829
2023-03-30 22:58:28,648, 1292, 320, 352, 3956, 8784, 6585, 2483, 12174, 829
2023-03-30 22:58:29,648, 1294, 321, 352, 3959, 8783, 6586, 2486, 12170, 829
2023-03-30 22:58:30,650, 1294, 320, 352, 3962, 8795, 6594, 2486, 12189, 829
2023-03-30 22:58:31,649, 1295, 321, 352, 3962, 8794, 6600, 2488, 12181, 823
2023-03-30 22:58:32,649, 1295, 321, 352, 3957, 8807, 6584, 2493, 12148, 827
2023-03-30 22:58:33,626, 1294, 321, 353, 3960, 8719, 6563, 2502, 12206, 829
2023-03-30 22:58:34,623, 1297, 320, 351, 3968, 8627, 6605, 2382, 12168, 829
2023-03-30 22:58:35,650, 1290, 321, 353, 3973, 8806, 6606, 2394, 12164, 829
2023-03-30 22:58:36,650, 1268, 322, 352, 3973, 8786, 6601, 2349, 12161, 829
2023-03-30 22:58:37,651, 1295, 311, 352, 3979, 8802, 6603, 2451, 12155, 830
2023-03-30 22:58:38,636, 1294, 305, 352, 3965, 8765, 6612, 2487, 12169, 830
2023-03-30 22:58:39,643, 1293, 319, 352, 3957, 8751, 6586, 2483, 12157, 829
2023-03-30 22:58:40,648, 1289, 320, 350, 3943, 8748, 6576, 2476, 12155, 827
2023-03-30 22:58:41,647, 1288, 319, 350, 3940, 8737, 6560, 2476, 12135, 815
2023-03-30 22:58:42,646, 1289, 320, 351, 3910, 8732, 6524, 2477, 12125, 824
2023-03-30 22:58:43,645, 1288, 319, 350, 3941, 8723, 6510, 2475, 12128, 827
2023-03-30 22:58:44,646, 1288, 319, 350, 3940, 8729, 6558, 2475, 12114, 825
2023-03-30 22:58:45,649, 1291, 319, 351, 3944, 8725, 6549, 2479, 12112, 826
2023-03-30 22:58:46,648, 1294, 320, 349, 3946, 8734, 6544, 2481, 12119, 826
