time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-04-21 03:25:13,551, 5609, 2004, 2622, 939, 233, 368, 834, 8699, 133
2023-04-21 03:25:14,168, 483, 141, 160, 1823, 3545, 2909, 1133, 5089, 354
2023-04-21 03:25:16,169, 482, 141, 160, 1825, 3558, 2890, 1133, 5092, 354
2023-04-21 03:25:17,169, 482, 141, 160, 1814, 3539, 2891, 1131, 5084, 353
2023-04-21 03:25:18,168, 482, 141, 159, 1826, 3553, 2924, 1133, 5065, 353
2023-04-21 03:25:19,169, 483, 141, 160, 1825, 3557, 2922, 1133, 5089, 354
2023-04-21 03:25:20,169, 481, 141, 160, 1819, 3551, 2915, 1129, 5094, 354
2023-04-21 03:25:21,169, 482, 141, 160, 1824, 3555, 2918, 1135, 5093, 354
2023-04-21 03:25:23,170, 483, 142, 160, 1828, 3562, 2927, 1137, 5104, 355
2023-04-21 03:25:24,169, 480, 140, 159, 1826, 3555, 2922, 1133, 5072, 353
2023-04-21 03:25:25,170, 483, 141, 160, 1826, 3549, 2917, 1136, 5100, 355
2023-04-21 03:25:26,169, 482, 141, 159, 1827, 3556, 2925, 1134, 5098, 354
2023-04-21 03:25:27,170, 484, 142, 160, 1828, 3556, 2922, 1134, 5088, 354
