time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-02-02 10:36:10,3374, 11639, 5693, 13876, 27465, 30676, 23946, 11618, 60428, 4257
2023-02-02 10:36:11,3303, 11418, 5577, 13564, 26907, 30164, 23776, 11474, 59417, 4226
2023-02-02 10:36:12,3300, 11412, 5576, 13567, 26899, 30157, 23765, 11472, 59371, 4225
2023-02-02 10:36:13,3302, 11418, 5577, 13576, 26885, 30166, 23764, 11467, 59436, 4224
2023-02-02 10:36:14,3302, 11420, 5572, 13576, 26906, 30150, 23763, 11466, 59376, 4224
2023-02-02 10:36:15,3300, 11419, 5573, 13575, 26890, 30146, 23759, 11463, 59284, 4219
2023-02-02 10:36:16,3300, 11416, 5575, 13577, 26877, 30144, 23762, 11463, 59362, 4220
2023-02-02 10:36:17,3301, 11425, 5579, 13575, 26894, 30155, 23765, 11469, 59354, 4226
2023-02-02 10:36:18,3302, 11423, 5576, 13565, 26905, 30144, 23772, 11466, 59424, 4228
2023-02-02 10:36:19,3300, 11418, 5575, 13564, 26853, 30121, 23727, 11448, 59325, 4217
2023-02-02 10:36:20,3300, 11415, 5575, 13555, 26883, 30134, 23755, 11467, 59299, 4221
2023-02-02 10:36:21,3302, 11430, 5579, 13573, 26882, 30143, 23765, 11464, 59378, 4226
2023-02-02 10:36:22,3302, 11418, 5576, 13562, 26885, 30138, 23750, 11465, 59375, 4225
2023-02-02 10:36:23,3304, 11423, 5580, 13579, 26926, 30178, 23790, 11475, 59433, 4230
2023-02-02 10:36:24,3303, 11426, 5579, 13580, 26902, 30147, 23777, 11468, 59407, 4227
2023-02-02 10:36:25,3300, 11421, 5574, 13576, 26891, 30162, 23773, 11468, 59382, 4224
2023-02-02 10:36:26,3303, 11421, 5575, 13579, 26907, 30167, 23777, 11472, 59372, 4226
2023-02-02 10:36:27,3298, 11417, 5575, 13579, 26916, 30175, 23783, 11474, 59417, 4228
2023-02-02 10:36:28,3300, 11426, 5575, 13580, 26890, 30152, 23769, 11466, 59420, 4229
2023-02-02 10:36:29,3299, 11378, 5569, 13576, 26912, 30173, 23789, 11476, 59393, 4227
2023-02-02 10:36:30,3303, 11408, 5575, 13580, 26914, 30168, 23783, 11474, 59421, 4230
2023-02-02 10:36:31,3304, 11432, 5577, 13581, 26917, 30172, 23785, 11477, 59438, 4231
2023-02-02 10:36:32,3303, 11431, 5576, 13585, 26902, 30172, 23786, 11474, 59422, 4230
2023-02-02 10:36:34,3297, 11418, 5572, 13574, 26908, 30160, 23788, 11474, 59417, 4229
2023-02-02 10:36:35,3300, 11423, 5574, 13578, 26905, 30161, 23781, 11471, 59417, 4230
2023-02-02 10:36:36,3301, 11423, 5574, 13577, 26897, 30168, 23776, 11471, 59424, 4228
2023-02-02 10:36:37,3302, 11424, 5575, 13585, 26917, 30172, 23782, 11474, 59414, 4229
2023-02-02 10:36:38,3302, 11423, 5578, 13584, 26914, 30162, 23787, 11469, 59425, 4229
2023-02-02 10:36:39,3304, 11431, 5575, 13581, 26908, 30168, 23784, 11474, 59413, 4230
2023-02-02 10:36:40,3303, 11426, 5576, 13583, 26905, 30159, 23762, 11470, 59395, 4230
2023-02-02 10:36:41,3303, 11419, 5577, 13583, 26913, 30168, 23786, 11473, 59420, 4231
2023-02-02 10:36:42,3302, 11424, 5573, 13578, 26891, 30162, 23779, 11473, 59400, 4229
2023-02-02 10:36:43,3301, 11377, 5570, 13571, 26891, 30147, 23775, 11463, 59395, 4230
2023-02-02 10:36:44,3298, 11431, 5571, 13573, 26905, 30174, 23782, 11474, 59411, 4230
2023-02-02 10:36:45,3303, 11427, 5577, 13586, 26916, 30174, 23791, 11473, 59435, 4231
2023-02-02 10:36:46,3303, 11423, 5573, 13583, 26906, 30156, 23787, 11471, 59435, 4231
2023-02-02 10:36:47,3302, 11426, 5575, 13585, 26909, 30163, 23778, 11472, 59432, 4231
2023-02-02 10:36:48,3301, 11407, 5572, 13576, 26911, 30166, 23793, 11474, 59413, 4229
2023-02-02 10:36:49,3302, 11423, 5575, 13583, 26915, 30169, 23787, 11477, 59413, 4231
2023-02-02 10:36:50,3303, 11424, 5574, 13584, 26910, 30167, 23782, 11474, 59398, 4228
2023-02-02 10:36:51,3301, 11429, 5573, 13585, 26903, 30175, 23790, 11470, 59408, 4229
2023-02-02 10:36:52,3301, 11427, 5575, 13589, 26911, 30167, 23795, 11470, 59406, 4230
2023-02-02 10:36:53,3302, 11424, 5575, 13588, 26910, 30175, 23791, 11476, 59441, 4231
2023-02-02 10:36:54,3302, 11426, 5574, 13589, 26911, 30174, 23789, 11474, 59429, 4231
2023-02-02 10:36:55,3303, 11413, 5572, 13586, 26908, 30179, 23794, 11475, 59442, 4232
2023-02-02 10:36:56,3303, 11416, 5574, 13585, 26915, 30183, 23799, 11476, 59443, 4233
2023-02-02 10:36:57,3301, 11410, 5570, 13589, 26917, 30181, 23796, 11476, 59443, 4232
2023-02-02 10:36:58,3303, 11431, 5575, 13590, 26920, 30172, 23800, 11478, 59439, 4232
2023-02-02 10:36:59,3304, 11439, 5573, 13590, 26908, 30170, 23797, 11474, 59419, 4231
2023-02-02 10:37:00,3303, 11444, 5574, 13589, 26905, 30179, 23791, 11474, 59429, 4232
