time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-02-02 09:16:10,3537, 12156, 5860, 14237, 28451, 31935, 24990, 12087, 63808, 4447
2023-02-02 09:16:11,1507, 10036, 4226, 7973, 5405, 1041, 1028, 4875, 19508, 931
2023-02-02 09:16:12,1508, 10039, 4229, 7974, 5405, 1042, 1028, 4877, 19557, 933
2023-02-02 09:16:13,1505, 10013, 4232, 7970, 5404, 1041, 1028, 4876, 19602, 935
2023-02-02 09:16:14,1508, 10016, 4234, 7963, 5405, 1042, 1028, 4873, 19622, 940
2023-02-02 09:16:15,1507, 10001, 4237, 7966, 5405, 1042, 1027, 4876, 19700, 946
2023-02-02 09:16:16,1505, 9993, 4235, 7969, 5405, 1041, 1027, 4872, 19721, 950
2023-02-02 09:16:17,1506, 10015, 4217, 7964, 5401, 1042, 1027, 4876, 19749, 949
2023-02-02 09:16:18,1507, 10017, 4217, 7971, 5398, 1041, 1027, 4876, 19741, 948
2023-02-02 09:16:19,1501, 9998, 4218, 7968, 5397, 1041, 1028, 4873, 19740, 948
2023-02-02 09:16:20,1504, 10018, 4213, 7972, 5396, 1041, 1028, 4874, 19728, 948
2023-02-02 09:16:21,1503, 10015, 4199, 7968, 5391, 1040, 1027, 4879, 19668, 948
2023-02-02 09:16:22,1502, 10014, 4193, 7968, 5381, 1042, 1027, 4875, 19659, 944
2023-02-02 09:16:23,1503, 10000, 4188, 7971, 5378, 1042, 1027, 4875, 19623, 941
2023-02-02 09:16:24,1503, 10012, 4181, 7965, 5371, 1041, 1027, 4869, 19623, 939
2023-02-02 09:16:25,1504, 9987, 4189, 7969, 5379, 1042, 1027, 4874, 19589, 938
2023-02-02 09:16:26,1504, 10003, 4191, 7968, 5381, 1042, 1027, 4872, 19584, 938
2023-02-02 09:16:27,1504, 9977, 4205, 7967, 5382, 1042, 1028, 4873, 19574, 939
2023-02-02 09:16:28,1503, 9988, 4208, 7969, 5387, 1042, 1027, 4876, 19587, 941
2023-02-02 09:16:30,1504, 10015, 4207, 7978, 5388, 1042, 1028, 4876, 19620, 942
2023-02-02 09:16:31,1505, 10022, 4210, 7971, 5393, 1041, 1028, 4877, 19627, 943
2023-02-02 09:16:32,1505, 10024, 4209, 7974, 5395, 1041, 1028, 4876, 19629, 943
2023-02-02 09:16:33,1505, 10020, 4206, 7976, 5393, 1040, 1028, 4876, 19656, 944
2023-02-02 09:16:34,1504, 10010, 4205, 7974, 5395, 1041, 1028, 4876, 19655, 945
2023-02-02 09:16:35,1506, 10029, 4208, 7971, 5398, 1041, 1028, 4876, 19658, 945
2023-02-02 09:16:36,1504, 10006, 4208, 7975, 5404, 1042, 1028, 4869, 19673, 946
2023-02-02 09:16:37,1507, 10031, 4216, 7974, 5408, 1043, 1028, 4876, 19683, 948
2023-02-02 09:16:38,1507, 10032, 4221, 7972, 5412, 1042, 1028, 4875, 19689, 948
2023-02-02 09:16:39,1507, 10031, 4222, 7970, 5410, 1042, 1026, 4877, 19706, 950
2023-02-02 09:16:40,1497, 10023, 4221, 7973, 5409, 1041, 1028, 4872, 19687, 949
2023-02-02 09:16:41,1507, 10018, 4215, 7967, 5401, 1041, 1028, 4871, 19718, 949
2023-02-02 09:16:42,1505, 10014, 4213, 7973, 5402, 1042, 1028, 4872, 19710, 949
2023-02-02 09:16:43,1507, 10027, 4214, 7976, 5399, 1041, 1028, 4872, 19715, 949
2023-02-02 09:16:44,1502, 10023, 4215, 7972, 5396, 1042, 1028, 4873, 19688, 948
2023-02-02 09:16:45,1506, 10016, 4213, 7972, 5395, 1041, 1028, 4874, 19700, 948
