time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-02-02 09:25:13,2011, 5068, 1935, 2544, 13548, 28122, 23882, 11242, 40126, 3419
2023-02-02 09:25:14,2019, 5132, 1943, 2552, 13596, 28219, 23960, 11282, 40186, 3428
2023-02-02 09:25:15,2022, 5134, 1943, 2552, 13598, 28227, 23965, 11287, 40159, 3429
2023-02-02 09:25:16,2022, 5134, 1945, 2552, 13600, 28218, 23969, 11286, 40120, 3425
2023-02-02 09:25:17,2022, 5134, 1944, 2552, 13595, 28212, 23940, 11286, 40098, 3423
2023-02-02 09:25:18,2021, 5138, 1944, 2551, 13582, 28207, 23922, 11278, 40056, 3420
2023-02-02 09:25:19,2019, 5140, 1944, 2551, 13579, 28202, 23905, 11278, 40051, 3417
2023-02-02 09:25:20,2017, 5149, 1940, 2550, 13571, 28186, 23883, 11271, 40030, 3414
2023-02-02 09:25:21,2015, 5147, 1938, 2550, 13568, 28189, 23876, 11272, 40012, 3413
2023-02-02 09:25:22,2014, 5146, 1938, 2548, 13562, 28192, 23854, 11271, 40010, 3412
2023-02-02 09:25:23,2012, 5124, 1938, 2548, 13559, 28182, 23857, 11263, 40007, 3410
2023-02-02 09:25:24,2014, 5128, 1938, 2547, 13562, 28178, 23848, 11260, 40005, 3408
2023-02-02 09:25:25,2014, 5124, 1937, 2547, 13565, 28164, 23846, 11256, 40031, 3408
2023-02-02 09:25:26,2014, 5119, 1937, 2547, 13557, 28141, 23843, 11248, 40017, 3408
2023-02-02 09:25:27,2014, 5109, 1938, 2545, 13556, 28117, 23828, 11242, 40014, 3408
2023-02-02 09:25:28,2016, 5099, 1938, 2545, 13559, 28107, 23827, 11232, 40015, 3410
2023-02-02 09:25:29,2016, 5093, 1937, 2544, 13558, 28083, 23839, 11232, 40007, 3411
2023-02-02 09:25:30,2015, 5087, 1938, 2543, 13559, 28092, 23844, 11231, 40034, 3410
2023-02-02 09:25:31,2017, 5088, 1937, 2544, 13557, 28083, 23848, 11226, 40012, 3413
2023-02-02 09:25:32,2019, 5093, 1938, 2544, 13556, 28079, 23840, 11226, 40050, 3416
2023-02-02 09:25:33,2021, 5096, 1938, 2544, 13558, 28077, 23857, 11225, 40072, 3418
2023-02-02 09:25:34,2020, 5101, 1937, 2544, 13552, 28083, 23858, 11224, 40106, 3420
2023-02-02 09:25:35,2019, 5105, 1936, 2545, 13556, 28076, 23861, 11221, 40151, 3422
2023-02-02 09:25:36,2018, 5103, 1935, 2544, 13556, 28081, 23862, 11223, 40164, 3423
2023-02-02 09:25:37,2018, 5118, 1936, 2545, 13552, 28082, 23865, 11223, 40171, 3425
2023-02-02 09:25:38,2018, 5123, 1936, 2545, 13558, 28079, 23869, 11225, 40196, 3425
2023-02-02 09:25:39,2019, 5126, 1936, 2545, 13565, 28082, 23887, 11227, 40214, 3428
2023-02-02 09:25:40,2019, 5132, 1937, 2546, 13564, 28088, 23886, 11229, 40243, 3428
2023-02-02 09:25:41,2020, 5132, 1938, 2545, 13563, 28090, 23899, 11228, 40236, 3429
2023-02-02 09:25:42,2019, 5129, 1940, 2546, 13569, 28104, 23909, 11233, 40254, 3429
2023-02-02 09:25:43,2019, 5117, 1938, 2545, 13565, 28088, 23915, 11232, 40241, 3430
2023-02-02 09:25:44,2019, 5118, 1940, 2546, 13568, 28113, 23916, 11238, 40225, 3431
2023-02-02 09:25:45,2018, 5112, 1940, 2547, 13572, 28123, 23932, 11241, 40244, 3431
2023-02-02 09:25:46,2019, 5113, 1939, 2547, 13576, 28120, 23932, 11246, 40257, 3431
2023-02-02 09:25:47,2018, 5111, 1939, 2547, 13571, 28121, 23937, 11244, 40238, 3430
2023-02-02 09:25:48,2017, 5118, 1940, 2548, 13578, 28140, 23936, 11247, 40236, 3432
2023-02-02 09:25:49,2018, 5126, 1940, 2550, 13578, 28154, 23938, 11255, 40243, 3431
2023-02-02 09:25:50,2020, 5129, 1940, 2550, 13583, 28171, 23952, 11264, 40252, 3430
2023-02-02 09:25:51,2020, 5141, 1941, 2552, 13587, 28188, 23960, 11267, 40275, 3431
2023-02-02 09:25:52,2019, 5143, 1940, 2551, 13586, 28191, 23963, 11276, 40261, 3431
2023-02-02 09:25:53,2019, 5140, 1941, 2553, 13590, 28173, 23947, 11274, 40261, 3430
2023-02-02 09:25:54,2018, 5142, 1942, 2553, 13594, 28183, 23967, 11279, 40223, 3431
2023-02-02 09:25:55,2014, 5138, 1942, 2553, 13596, 28199, 23971, 11279, 40233, 3430
2023-02-02 09:25:56,2018, 5138, 1942, 2553, 13593, 28202, 23965, 11280, 40221, 3431
2023-02-02 09:25:57,2016, 5125, 1940, 2552, 13589, 28211, 23957, 11281, 40216, 3428
2023-02-02 09:25:58,2017, 5120, 1940, 2551, 13588, 28208, 23964, 11274, 40221, 3429
2023-02-02 09:26:00,2018, 5132, 1942, 2553, 13595, 28212, 23966, 11276, 40210, 3429
2023-02-02 09:26:01,2019, 5132, 1942, 2554, 13592, 28222, 23967, 11286, 40238, 3429
2023-02-02 09:26:02,2019, 5134, 1942, 2553, 13593, 28219, 23969, 11284, 40234, 3430
2023-02-02 09:26:03,2019, 5132, 1941, 2553, 13595, 28213, 23962, 11285, 40229, 3430
2023-02-02 09:26:04,2018, 5136, 1941, 2552, 13592, 28223, 23962, 11286, 40216, 3429
2023-02-02 09:26:05,2017, 5132, 1940, 2553, 13592, 28213, 23970, 11284, 40213, 3429
2023-02-02 09:26:06,2018, 5130, 1940, 2551, 13582, 28221, 23957, 11285, 40215, 3428
2023-02-02 09:26:07,2017, 5131, 1940, 2553, 13594, 28215, 23958, 11279, 40223, 3428
2023-02-02 09:26:08,2018, 5124, 1940, 2551, 13581, 28198, 23950, 11281, 40208, 3428
2023-02-02 09:26:09,2019, 5126, 1940, 2552, 13588, 28210, 23950, 11276, 40197, 3428
2023-02-02 09:26:10,2018, 5129, 1939, 2552, 13586, 28213, 23957, 11280, 40205, 3429
2023-02-02 09:26:11,2019, 5129, 1940, 2552, 13589, 28221, 23944, 11281, 40242, 3429
2023-02-02 09:26:12,2018, 5129, 1940, 2552, 13591, 28218, 23960, 11282, 40252, 3430
2023-02-02 09:26:13,2019, 5132, 1940, 2553, 13590, 28210, 23960, 11281, 40256, 3430
2023-02-02 09:26:14,2019, 5126, 1941, 2553, 13593, 28222, 23956, 11279, 40240, 3430
2023-02-02 09:26:15,2019, 5131, 1941, 2552, 13584, 28204, 23950, 11282, 40240, 3430
2023-02-02 09:26:16,2020, 5135, 1941, 2552, 13589, 28213, 23956, 11281, 40221, 3430
2023-02-02 09:26:17,2020, 5132, 1941, 2552, 13590, 28188, 23947, 11273, 40207, 3428
2023-02-02 09:26:18,2019, 5126, 1940, 2551, 13589, 28202, 23944, 11275, 40203, 3428
2023-02-02 09:26:19,2019, 5131, 1940, 2552, 13585, 28198, 23946, 11273, 40212, 3427
2023-02-02 09:26:20,2020, 5132, 1940, 2551, 13583, 28203, 23945, 11272, 40225, 3427
2023-02-02 09:26:21,2017, 5123, 1939, 2551, 13579, 28196, 23940, 11274, 40207, 3429
2023-02-02 09:26:22,2018, 5129, 1939, 2551, 13583, 28193, 23945, 11271, 40216, 3428
2023-02-02 09:26:23,2018, 5132, 1939, 2551, 13588, 28188, 23935, 11272, 40218, 3428
2023-02-02 09:26:24,2020, 5128, 1940, 2550, 13581, 28198, 23941, 11273, 40235, 3429
2023-02-02 09:26:25,2019, 5136, 1940, 2552, 13587, 28191, 23943, 11274, 40208, 3429
2023-02-02 09:26:26,2018, 5135, 1940, 2552, 13581, 28200, 23944, 11272, 40205, 3429
2023-02-02 09:26:27,2017, 5129, 1939, 2551, 13582, 28165, 23937, 11261, 40232, 3430
2023-02-02 09:26:28,2016, 5132, 1940, 2549, 13586, 28160, 23941, 11265, 40222, 3431
2023-02-02 09:26:29,2018, 5133, 1940, 2549, 13578, 28172, 23936, 11265, 40218, 3429
2023-02-02 09:26:30,2017, 5129, 1939, 2549, 13575, 28186, 23928, 11268, 40217, 3428
2023-02-02 09:26:31,2017, 5132, 1940, 2550, 13576, 28185, 23933, 11265, 40233, 3427
2023-02-02 09:26:32,2018, 5123, 1939, 2548, 13576, 28173, 23937, 11266, 40213, 3428
2023-02-02 09:26:33,2013, 5108, 1938, 2549, 13577, 28158, 23936, 11266, 40194, 3428
2023-02-02 09:26:34,2018, 5123, 1939, 2549, 13577, 28173, 23939, 11268, 40183, 3427
2023-02-02 09:26:35,2015, 5128, 1940, 2550, 13584, 28183, 23932, 11269, 40164, 3426
2023-02-02 09:26:36,2018, 5126, 1939, 2550, 13582, 28180, 23927, 11267, 40189, 3425
2023-02-02 09:26:37,2018, 5131, 1940, 2549, 13585, 28177, 23942, 11269, 40196, 3426
2023-02-02 09:26:38,2018, 5135, 1939, 2549, 13584, 28182, 23940, 11265, 40178, 3426
2023-02-02 09:26:39,2018, 5132, 1941, 2552, 13580, 28188, 23948, 11267, 40163, 3427
