time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-02-02 09:09:15,7, 18, 23, 33, 46, 48, 46, 31, 233, 101
2023-02-02 09:09:16,3533, 12283, 5798, 14247, 28426, 31943, 25030, 12071, 63767, 4450
2023-02-02 09:09:18,3534, 12280, 5799, 14257, 28422, 31939, 25027, 12064, 63748, 4449
2023-02-02 09:09:19,3534, 12277, 5797, 14249, 28406, 31926, 25019, 12066, 63734, 4449
2023-02-02 09:09:20,3532, 12256, 5798, 14241, 28413, 31922, 25015, 12062, 63730, 4448
2023-02-02 09:09:21,3535, 12281, 5804, 14248, 28420, 31926, 25023, 12062, 63772, 4448
2023-02-02 09:09:22,3534, 12279, 5800, 14249, 28402, 31920, 25016, 12059, 63713, 4444
2023-02-02 09:09:23,3533, 12249, 5791, 14245, 28407, 31931, 25001, 12063, 63744, 4444
2023-02-02 09:09:24,3532, 12260, 5799, 14247, 28425, 31925, 25020, 12059, 63715, 4445
2023-02-02 09:09:25,3534, 12272, 5800, 14251, 28420, 31929, 25029, 12062, 63775, 4446
2023-02-02 09:09:26,3531, 12257, 5801, 14241, 28418, 31920, 25022, 12061, 63758, 4443
2023-02-02 09:09:27,3533, 12280, 5805, 14255, 28434, 31944, 25034, 12064, 63774, 4444
2023-02-02 09:09:28,3535, 12273, 5809, 14254, 28423, 31926, 25022, 12067, 63787, 4447
2023-02-02 09:09:29,3532, 12258, 5802, 14240, 28416, 31926, 25007, 12063, 63769, 4445
2023-02-02 09:09:30,3533, 12259, 5803, 14253, 28421, 31935, 25012, 12063, 63779, 4446
2023-02-02 09:09:31,3533, 12261, 5804, 14253, 28430, 31940, 25013, 12072, 63799, 4449
2023-02-02 09:09:32,3535, 12268, 5807, 14249, 28422, 31931, 25013, 12066, 63742, 4449
2023-02-02 09:09:33,3535, 12256, 5808, 14244, 28423, 31930, 25018, 12069, 63759, 4448
2023-02-02 09:09:34,3535, 12271, 5809, 14249, 28426, 31938, 25021, 12071, 63744, 4448
2023-02-02 09:09:35,3533, 12267, 5811, 14251, 28419, 31933, 25012, 12068, 63769, 4448
2023-02-02 09:09:36,3530, 12242, 5809, 14241, 28424, 31921, 25020, 12071, 63790, 4448
2023-02-02 09:09:37,3535, 12263, 5811, 14241, 28423, 31936, 25019, 12072, 63782, 4449
2023-02-02 09:09:38,3533, 12259, 5810, 14246, 28421, 31931, 25010, 12066, 63775, 4450
2023-02-02 09:09:39,3533, 12262, 5810, 14246, 28427, 31937, 25014, 12072, 63815, 4451
2023-02-02 09:09:40,3534, 12262, 5814, 14246, 28420, 31925, 25012, 12068, 63772, 4450
2023-02-02 09:09:41,3533, 12246, 5809, 14236, 28414, 31929, 25011, 12065, 63784, 4447
2023-02-02 09:09:42,3532, 12254, 5807, 14244, 28421, 31920, 25014, 12066, 63764, 4448
2023-02-02 09:09:43,3533, 12252, 5811, 14244, 28418, 31906, 25013, 12059, 63772, 4451
2023-02-02 09:09:44,3531, 12238, 5810, 14241, 28421, 31906, 25016, 12064, 63775, 4448
2023-02-02 09:09:45,3534, 12255, 5811, 14235, 28436, 31919, 25017, 12069, 63826, 4451
2023-02-02 09:09:46,3533, 12258, 5817, 14250, 28431, 31941, 25026, 12076, 63801, 4451
2023-02-02 09:09:47,3533, 12262, 5815, 14248, 28429, 31912, 25020, 12070, 63773, 4449
2023-02-02 09:09:48,3533, 12276, 5817, 14236, 28419, 31913, 25001, 12068, 63764, 4449
2023-02-02 09:09:49,3535, 12272, 5817, 14248, 28426, 31936, 25001, 12075, 63814, 4449
2023-02-02 09:09:50,3537, 12250, 5819, 14248, 28429, 31930, 25011, 12072, 63844, 4450
2023-02-02 09:09:51,3535, 12264, 5819, 14254, 28440, 31915, 25028, 12073, 63835, 4450
2023-02-02 09:09:52,3533, 12266, 5821, 14249, 28432, 31934, 25013, 12072, 63811, 4450
2023-02-02 09:09:53,3535, 12258, 5807, 14248, 28420, 31930, 25025, 12070, 63846, 4448
2023-02-02 09:09:54,3535, 12245, 5818, 14252, 28425, 31937, 25026, 12074, 63805, 4452
2023-02-02 09:09:55,3530, 12231, 5817, 14252, 28408, 31935, 25021, 12075, 63805, 4450
2023-02-02 09:09:56,3535, 12262, 5821, 14249, 28427, 31938, 25026, 12077, 63820, 4450
2023-02-02 09:09:57,3534, 12248, 5817, 14240, 28430, 31939, 25021, 12077, 63783, 4449
2023-02-02 09:09:58,3535, 12258, 5821, 14239, 28431, 31934, 25016, 12077, 63766, 4447
2023-02-02 09:09:59,3534, 12249, 5820, 14247, 28433, 31926, 25016, 12076, 63796, 4451
2023-02-02 09:10:00,3535, 12257, 5820, 14251, 28444, 31917, 25020, 12074, 63801, 4451
2023-02-02 09:10:01,3536, 12253, 5823, 14250, 28437, 31932, 25026, 12077, 63828, 4452
2023-02-02 09:10:02,3535, 12257, 5826, 14245, 28433, 31941, 25013, 12079, 63808, 4451
2023-02-02 09:10:03,3533, 12253, 5821, 14243, 28442, 31937, 25024, 12077, 63846, 4449
2023-02-02 09:10:04,3532, 12257, 5825, 14252, 28434, 31936, 25020, 12076, 63821, 4450
2023-02-02 09:10:05,3531, 12243, 5824, 14248, 28448, 31945, 25021, 12082, 63835, 4451
2023-02-02 09:10:06,3536, 12260, 5829, 14249, 28439, 31944, 25024, 12078, 63834, 4450
2023-02-02 09:10:07,3537, 12256, 5825, 14253, 28452, 31943, 25022, 12082, 63840, 4452
2023-02-02 09:10:08,3539, 12261, 5829, 14256, 28449, 31955, 25027, 12080, 63855, 4452
2023-02-02 09:10:09,3539, 12258, 5830, 14255, 28423, 31945, 25035, 12083, 63865, 4452
2023-02-02 09:10:10,3537, 12233, 5827, 14259, 28444, 31931, 25030, 12079, 63862, 4449
2023-02-02 09:10:11,3536, 12249, 5824, 14253, 28435, 31939, 25031, 12079, 63842, 4451
2023-02-02 09:10:12,3538, 12251, 5829, 14252, 28436, 31939, 25018, 12074, 63814, 4450
2023-02-02 09:10:13,3535, 12239, 5818, 14250, 28418, 31937, 25013, 12069, 63853, 4450
2023-02-02 09:10:14,3537, 12246, 5825, 14248, 28423, 31947, 25014, 12076, 63830, 4448
2023-02-02 09:10:15,3539, 12255, 5828, 14255, 28430, 31936, 25007, 12073, 63827, 4450
2023-02-02 09:10:16,3539, 12265, 5832, 14248, 28406, 31934, 25007, 12074, 63816, 4449
2023-02-02 09:10:17,3532, 12224, 5824, 14242, 28420, 31927, 25004, 12076, 63792, 4450
2023-02-02 09:10:18,3531, 12225, 5827, 14238, 28429, 31920, 25009, 12077, 63767, 4450
2023-02-02 09:10:19,3530, 12220, 5827, 14242, 28435, 31924, 25017, 12076, 63804, 4450
2023-02-02 09:10:20,3531, 12248, 5831, 14233, 28432, 31931, 25006, 12076, 63838, 4450
2023-02-02 09:10:21,3533, 12243, 5830, 14249, 28440, 31946, 25016, 12083, 63835, 4451
2023-02-02 09:10:22,3532, 12246, 5831, 14245, 28451, 31947, 25013, 12085, 63799, 4451
2023-02-02 09:10:23,3538, 12250, 5835, 14233, 28448, 31923, 25009, 12087, 63843, 4451
2023-02-02 09:10:24,3533, 12256, 5834, 14245, 28442, 31933, 25024, 12084, 63847, 4451
2023-02-02 09:10:26,3533, 12241, 5835, 14244, 28439, 31949, 25014, 12086, 63826, 4453
2023-02-02 09:10:27,3537, 12244, 5832, 14244, 28441, 31944, 25014, 12086, 63765, 4450
2023-02-02 09:10:28,3538, 12252, 5834, 14247, 28455, 31948, 25024, 12086, 63860, 4454
2023-02-02 09:10:29,3535, 12253, 5839, 14247, 28453, 31952, 25021, 12088, 63853, 4453
2023-02-02 09:10:30,3539, 12254, 5838, 14247, 28450, 31949, 25025, 12080, 63825, 4451
2023-02-02 09:10:31,3540, 12253, 5838, 14246, 28446, 31942, 25028, 12086, 63846, 4452
2023-02-02 09:10:32,3538, 12250, 5836, 14250, 28437, 31931, 25023, 12083, 63853, 4451
2023-02-02 09:10:33,3540, 12251, 5836, 14254, 28437, 31942, 25021, 12087, 63836, 4452
