time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-02-02 10:42:07,3296, 11435, 5553, 13595, 26917, 30190, 23827, 11472, 59425, 4235
2023-02-02 10:42:08,3535, 12271, 5947, 14439, 29000, 32323, 25386, 12218, 63752, 4460
2023-02-02 10:42:09,3538, 12265, 5952, 14440, 28989, 32326, 25384, 12217, 63848, 4463
2023-02-02 10:42:10,3533, 12265, 5946, 14436, 28991, 32324, 25376, 12213, 63795, 4461
2023-02-02 10:42:11,3535, 12254, 5943, 14445, 28986, 32316, 25382, 12213, 63798, 4459
2023-02-02 10:42:12,3540, 12251, 5947, 14441, 28991, 32330, 25378, 12215, 63780, 4460
2023-02-02 10:42:13,3538, 12262, 5943, 14441, 28985, 32330, 25378, 12218, 63823, 4457
2023-02-02 10:42:14,3539, 12249, 5940, 14443, 28992, 32335, 25378, 12220, 63812, 4460
2023-02-02 10:42:15,3538, 12239, 5942, 14443, 28989, 32323, 25375, 12218, 63794, 4459
2023-02-02 10:42:16,3535, 12251, 5942, 14442, 28992, 32336, 25351, 12221, 63809, 4460
2023-02-02 10:42:17,3536, 12259, 5947, 14446, 28986, 32317, 25366, 12225, 63840, 4461
2023-02-02 10:42:18,3540, 12258, 5946, 14431, 28986, 32339, 25370, 12221, 63852, 4462
2023-02-02 10:42:19,3540, 12253, 5947, 14431, 28994, 32326, 25385, 12219, 63794, 4463
2023-02-02 10:42:20,3536, 12251, 5941, 14445, 28969, 32331, 25376, 12219, 63819, 4463
2023-02-02 10:42:21,3538, 12250, 5947, 14438, 28991, 32320, 25382, 12217, 63837, 4461
2023-02-02 10:42:22,3535, 12252, 5938, 14427, 28989, 32321, 25378, 12219, 63819, 4461
2023-02-02 10:42:23,3536, 12241, 5943, 14439, 28981, 32326, 25377, 12219, 63820, 4461
2023-02-02 10:42:24,3535, 12248, 5944, 14438, 28975, 32315, 25380, 12220, 63827, 4460
2023-02-02 10:42:25,3533, 12248, 5944, 14447, 28984, 32337, 25369, 12220, 63837, 4460
2023-02-02 10:42:26,3539, 12261, 5944, 14442, 28990, 32312, 25387, 12214, 63818, 4461
2023-02-02 10:42:27,3537, 12262, 5947, 14442, 28972, 32308, 25385, 12219, 63812, 4459
2023-02-02 10:42:28,3540, 12251, 5952, 14443, 28983, 32333, 25353, 12219, 63773, 4459
2023-02-02 10:42:29,3537, 12227, 5944, 14429, 28988, 32323, 25364, 12218, 63809, 4457
2023-02-02 10:42:30,3538, 12220, 5943, 14431, 28980, 32318, 25373, 12217, 63846, 4460
2023-02-02 10:42:31,3540, 12215, 5945, 14431, 28970, 32340, 25372, 12211, 63831, 4459
2023-02-02 10:42:32,3540, 12232, 5949, 14439, 28981, 32319, 25377, 12218, 63865, 4459
2023-02-02 10:42:33,3541, 12212, 5950, 14439, 28986, 32310, 25364, 12218, 63869, 4462
2023-02-02 10:42:34,3538, 12215, 5946, 14438, 28981, 32301, 25359, 12220, 63850, 4462
2023-02-02 10:42:35,3538, 12202, 5945, 14438, 28967, 32281, 25345, 12210, 63821, 4460
2023-02-02 10:42:36,3535, 12209, 5941, 14432, 28988, 32302, 25353, 12206, 63871, 4459
2023-02-02 10:42:37,3533, 12192, 5944, 14434, 28975, 32323, 25378, 12206, 63878, 4460
2023-02-02 10:42:38,3537, 12191, 5946, 14430, 28980, 32324, 25379, 12218, 63858, 4460
2023-02-02 10:42:39,3544, 12217, 5945, 14429, 28995, 32313, 25377, 12218, 63806, 4461
2023-02-02 10:42:40,3538, 12210, 5943, 14427, 28998, 32308, 25388, 12217, 63746, 4462
2023-02-02 10:42:41,3535, 12225, 5943, 14424, 28986, 32311, 25380, 12218, 63690, 4461
2023-02-02 10:42:42,3536, 12241, 5944, 14415, 28998, 32311, 25380, 12221, 63761, 4460
2023-02-02 10:42:43,3540, 12258, 5949, 14420, 29000, 32322, 25385, 12219, 63858, 4457
2023-02-02 10:42:44,3540, 12253, 5945, 14433, 28997, 32337, 25389, 12218, 63821, 4459
2023-02-02 10:42:45,3539, 12247, 5946, 14441, 28996, 32339, 25392, 12210, 63807, 4459
2023-02-02 10:42:46,3541, 12260, 5949, 14431, 29002, 32320, 25398, 12213, 63786, 4459
2023-02-02 10:42:47,3540, 12253, 5949, 14433, 29011, 32309, 25397, 12221, 63730, 4459
2023-02-02 10:42:48,3540, 12249, 5951, 14433, 29011, 32324, 25403, 12229, 63769, 4461
2023-02-02 10:42:49,3542, 12241, 5951, 14437, 29013, 32322, 25398, 12229, 63795, 4461
2023-02-02 10:42:50,3540, 12238, 5953, 14443, 29008, 32341, 25392, 12228, 63819, 4460
2023-02-02 10:42:51,3540, 12228, 5952, 14457, 28997, 32361, 25390, 12225, 63874, 4460
2023-02-02 10:42:52,3541, 12251, 5949, 14455, 29001, 32347, 25388, 12214, 63846, 4461
2023-02-02 10:42:53,3540, 12256, 5949, 14453, 28996, 32344, 25396, 12216, 63848, 4463
