time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2023-02-02 10:47:00,3533, 12212, 5952, 14451, 29014, 32336, 25380, 12231, 63834, 4461
2023-02-02 10:47:01,3405, 11880, 5774, 14030, 27979, 31118, 24235, 11866, 60713, 4319
2023-02-02 10:47:02,3405, 11824, 5765, 14024, 27985, 31098, 24220, 11855, 60694, 4320
2023-02-02 10:47:03,3405, 11846, 5763, 14008, 27983, 31105, 24209, 11854, 60732, 4317
2023-02-02 10:47:04,3401, 11829, 5754, 14006, 27961, 31090, 24191, 11852, 60646, 4317
2023-02-02 10:47:05,3401, 11845, 5761, 14008, 27967, 31086, 24208, 11853, 60662, 4317
2023-02-02 10:47:06,3408, 11870, 5767, 14023, 27958, 31126, 24216, 11860, 60681, 4315
2023-02-02 10:47:07,3407, 11851, 5766, 14023, 27981, 31106, 24211, 11856, 60722, 4321
2023-02-02 10:47:08,3404, 11812, 5757, 14008, 27962, 31082, 24196, 11854, 60741, 4320
2023-02-02 10:47:09,3406, 11832, 5762, 14011, 27962, 31088, 24202, 11848, 60681, 4314
2023-02-02 10:47:10,3407, 11813, 5765, 14013, 27960, 31092, 24212, 11849, 60679, 4315
2023-02-02 10:47:11,3404, 11798, 5762, 14008, 27947, 31078, 24196, 11845, 60740, 4317
2023-02-02 10:47:12,3409, 11817, 5763, 14015, 27969, 31081, 24201, 11849, 60746, 4320
2023-02-02 10:47:13,3409, 11825, 5771, 14014, 27970, 31096, 24203, 11853, 60726, 4318
2023-02-02 10:47:14,3405, 11795, 5763, 14015, 27957, 31032, 24197, 11822, 60740, 4320
2023-02-02 10:47:15,3403, 11791, 5762, 13986, 27896, 31104, 24157, 11846, 60497, 4310
2023-02-02 10:47:16,3408, 11772, 5772, 13957, 27914, 31086, 24138, 11846, 60609, 4313
2023-02-02 10:47:17,3408, 11777, 5765, 13973, 27941, 31054, 24196, 11849, 60695, 4320
2023-02-02 10:47:18,3413, 11803, 5766, 13996, 27960, 31033, 24220, 11845, 60781, 4319
2023-02-02 10:47:19,3407, 11812, 5773, 14001, 27974, 31112, 24203, 11856, 60784, 4317
2023-02-02 10:47:20,3407, 11805, 5774, 14016, 27959, 31111, 24194, 11855, 60732, 4318
2023-02-02 10:47:21,3407, 11807, 5766, 14010, 27942, 31091, 24175, 11838, 60683, 4317
2023-02-02 10:47:22,3406, 11811, 5761, 14008, 27945, 31095, 24177, 11849, 60698, 4318
2023-02-02 10:47:23,3407, 11812, 5770, 14012, 27982, 31105, 24204, 11858, 60674, 4317
2023-02-02 10:47:24,3404, 11808, 5765, 14009, 27970, 31073, 24199, 11841, 60699, 4318
2023-02-02 10:47:25,3403, 11803, 5767, 14000, 27940, 31072, 24181, 11833, 60743, 4313
2023-02-02 10:47:26,3405, 11795, 5760, 14003, 27972, 31091, 24203, 11842, 60726, 4310
2023-02-02 10:47:27,3409, 11819, 5771, 14006, 27963, 31045, 24193, 11840, 60756, 4318
2023-02-02 10:47:28,3404, 11794, 5764, 13999, 27973, 31088, 24196, 11855, 60763, 4321
2023-02-02 10:47:30,3411, 11810, 5767, 14010, 27961, 31081, 24188, 11849, 60792, 4321
2023-02-02 10:47:31,3407, 11802, 5766, 14007, 27977, 31075, 24201, 11848, 60782, 4321
2023-02-02 10:47:32,3406, 11786, 5763, 14010, 27948, 31064, 24188, 11846, 60736, 4317
2023-02-02 10:47:33,3405, 11792, 5758, 13991, 27915, 31048, 24179, 11836, 60714, 4318
2023-02-02 10:47:34,3400, 11776, 5758, 13996, 27937, 31050, 24195, 11843, 60770, 4318
2023-02-02 10:47:35,3405, 11813, 5764, 14002, 27961, 31065, 24178, 11848, 60765, 4320
2023-02-02 10:47:36,3408, 11809, 5764, 14001, 27962, 31060, 24190, 11843, 60734, 4320
2023-02-02 10:47:37,3404, 11802, 5762, 14003, 27951, 31062, 24201, 11843, 60753, 4319
2023-02-02 10:47:38,3404, 11807, 5761, 14007, 27962, 31072, 24202, 11842, 60736, 4319
